# log10(M200c)[Msun] log10(<sigmaDM>)[km/s] log10(sigmaDM)+ log10(sigmaDM)- log10(sigmaDM)++ log10(sigmaDM)-- log10(sigmaDM)+++ log10(sigmaDM)--- <slope> slope+ slope- slope++ slope-- slope+++ slope--- <scatter>[ln] scatter+ scatter- scatter++ scatter-- scatter+++ scatter---
3.162277660168379297e+13 3.030235136889256751e+02 3.029321080110327102e+02 3.031181498344965917e+02 3.028365721075403485e+02 3.032227455272578140e+02 3.027619760455938831e+02 3.033330052612429313e+02 3.148928184136565722e-01 3.144520170573296136e-01 3.153214444962399998e-01 3.140020059806740704e-01 3.157718129351994030e-01 3.136843045260787610e-01 3.161503773365999526e-01 4.409813366511259464e-02 4.367622991573238272e-02 4.453627101829700508e-02 4.325433359262599586e-02 4.494891952253569911e-02 4.281402914786218428e-02 4.539278466184037963e-02
3.981071705534969531e+13 3.259981817050504560e+02 3.258892393575004576e+02 3.261108049001081781e+02 3.257851425890973474e+02 3.262172185701768967e+02 3.256696537732927368e+02 3.263289546207012677e+02 3.161919521100284847e-01 3.157960303864551510e-01 3.166131295351187203e-01 3.153562690388306833e-01 3.170323361845247545e-01 3.150620597146194246e-01 3.174739350978748043e-01 4.371087549966884422e-02 4.329744046606694152e-02 4.410519270661793223e-02 4.289133884137973779e-02 4.449875081259462017e-02 4.253559051033914407e-02 4.497152015550096027e-02
5.011872336272714844e+13 3.508744296232823103e+02 3.507465078462977885e+02 3.510090624522944722e+02 3.506056331615660611e+02 3.511326032704490672e+02 3.504763842222754420e+02 3.512226174669294778e+02 3.176447154997967814e-01 3.172783160928542290e-01 3.180582559195451187e-01 3.169181928372570289e-01 3.184304779748683423e-01 3.163369822749751981e-01 3.187897969612613069e-01 4.324143271341734235e-02 4.285832872662469206e-02 4.367197173422716211e-02 4.247164611419523839e-02 4.412330733443707576e-02 4.212322606392177038e-02 4.447285653126030469e-02
6.309573444801917188e+13 3.778092600283349043e+02 3.776471379742952763e+02 3.779824131379122605e+02 3.774839721699956385e+02 3.781447329293960138e+02 3.773292812330477091e+02 3.782541714846634022e+02 3.191937856281262809e-01 3.187482420191550814e-01 3.196245566838100127e-01 3.183454687638506142e-01 3.200019336912969803e-01 3.179020755157386802e-01 3.205402773424161911e-01 4.283327510282328165e-02 4.238507800558069527e-02 4.324334254777954106e-02 4.203307745501672077e-02 4.368224927014800058e-02 4.167464206708924174e-02 4.404517791244023928e-02
7.943282347242789062e+13 4.070470813920130695e+02 4.068489751378891128e+02 4.072384430585605628e+02 4.066463322530651112e+02 4.074217709651004498e+02 4.064970494356358017e+02 4.076314434190212523e+02 3.209166763727112626e-01 3.204605293942833222e-01 3.213821179316763144e-01 3.200742427254872902e-01 3.218271262079160921e-01 3.193929515689863941e-01 3.223265983847712901e-01 4.241738698799896873e-02 4.203202871976119415e-02 4.282214000362940393e-02 4.163034700233153584e-02 4.324953859953287877e-02 4.101527774371498125e-02 4.366619765155486249e-02
9.999999999999959375e+13 4.387465277575008713e+02 4.384957313541788722e+02 4.389890106240289924e+02 4.382992179112191593e+02 4.392240248096331925e+02 4.380469614690132403e+02 4.394310803766845197e+02 3.227914586413854758e-01 3.222808874937853063e-01 3.232904989940124652e-01 3.217811177319384042e-01 3.237184119312391806e-01 3.214839236264074307e-01 3.243502252557906029e-01 4.204178490637022064e-02 4.160135652393152916e-02 4.247755786428155517e-02 4.120202516492040695e-02 4.293642586575326103e-02 4.075602318093656667e-02 4.340598953991982312e-02
1.258925411794161094e+14 4.732109867633234899e+02 4.729194727607655295e+02 4.735039038033362431e+02 4.726310048652238720e+02 4.738408266464475105e+02 4.724012452429735163e+02 4.740461968544515798e+02 3.248443622507972695e-01 3.243271478834760524e-01 3.253450822854622726e-01 3.237786501729961186e-01 3.258924691576169375e-01 3.234051520959925208e-01 3.263292017760743291e-01 4.170767578384707713e-02 4.122703225686711465e-02 4.217916654875884797e-02 4.076922829903456558e-02 4.258884020068792742e-02 4.038591719113134720e-02 4.302747203788733626e-02
1.584893192461104375e+14 5.106887952474713757e+02 5.102925491382474092e+02 5.110307300024170445e+02 5.099658524855487371e+02 5.114431687471303007e+02 5.095632293038052580e+02 5.118112513016567959e+02 3.269731822807500632e-01 3.263308693126066307e-01 3.275680142941386208e-01 3.257485614046023437e-01 3.281787306853445330e-01 3.250433222992926696e-01 3.288783911466724996e-01 4.138632756709669652e-02 4.089239887489345970e-02 4.191038808495127499e-02 4.038304021127549909e-02 4.236224152637989987e-02 3.996846246460235286e-02 4.283148290056416202e-02
1.995262314968866562e+14 5.513945392630052993e+02 5.509690030596409542e+02 5.518664638705305379e+02 5.505403964738567311e+02 5.523386076249871621e+02 5.500932155508262440e+02 5.527450946217825276e+02 3.291485785493361016e-01 3.284673492136538364e-01 3.298479368173672377e-01 3.278721859414477913e-01 3.305172606373585897e-01 3.274032508891532856e-01 3.312137406995339095e-01 4.125192429400410116e-02 4.067338365245297405e-02 4.180357131216652644e-02 4.019701111613066535e-02 4.236193482869369392e-02 3.970993180003296735e-02 4.277021497249892945e-02
2.511886431509561562e+14 5.957079054106561671e+02 5.951433218123004281e+02 5.963195803258286105e+02 5.946238534464772556e+02 5.968630362334184838e+02 5.939455148959582402e+02 5.974227545490199418e+02 3.313447514634216828e-01 3.305589547119638372e-01 3.321844666423873216e-01 3.298085528709537306e-01 3.330625872181128266e-01 3.291207977289966058e-01 3.339656704024542844e-01 4.120366286931341493e-02 4.057205523738014602e-02 4.180099965591996952e-02 3.991142887928111893e-02 4.241520466979986637e-02 3.930754517279758803e-02 4.295047409642118591e-02
