# log10(M200c)[Msun] log10(<sigmaDM>)[km/s] log10(sigmaDM)+ log10(sigmaDM)- log10(sigmaDM)++ log10(sigmaDM)-- log10(sigmaDM)+++ log10(sigmaDM)--- <slope> slope+ slope- slope++ slope-- slope+++ slope--- <scatter>[ln] scatter+ scatter- scatter++ scatter-- scatter+++ scatter---
3.162277660168379297e+13 3.721887402506464468e+02 3.719461287691068492e+02 3.724509240865242532e+02 3.716909705767787386e+02 3.726692960163830435e+02 3.714511516957051640e+02 3.728634547739147251e+02 3.296224246381911360e-01 3.286988190772685559e-01 3.304716700754181113e-01 3.277706872305863328e-01 3.314056210868782104e-01 3.262584416597719139e-01 3.322903428960952699e-01 4.365609661764047189e-02 4.330268993739616601e-02 4.402792632237260972e-02 4.291773372757324428e-02 4.443443141354736642e-02 4.258843737132916862e-02 4.489515697563876279e-02
3.981071705534969531e+13 4.016585795055266885e+02 4.013358459594940655e+02 4.019749508922773202e+02 4.009802235427598021e+02 4.022581669130662476e+02 4.007219143000315285e+02 4.025172321305690843e+02 3.301288310131109682e-01 3.291807961166092200e-01 3.310695690586736850e-01 3.281669521097775322e-01 3.318234268697946576e-01 3.273888255608650155e-01 3.324247332302714408e-01 4.353347199962954994e-02 4.316983721291725584e-02 4.394216808644348798e-02 4.271520490500641670e-02 4.440860513640084578e-02 4.235309978706533474e-02 4.477351285673081965e-02
5.011872336272714844e+13 4.336234987796713654e+02 4.331791136340022490e+02 4.340609042433877676e+02 4.327647828761601545e+02 4.344854839343181538e+02 4.322027073306104512e+02 4.348734270075630093e+02 3.309393934287485628e-01 3.299360799313184600e-01 3.319734976461484188e-01 3.291058973540949006e-01 3.329779903190999146e-01 3.280591127268782103e-01 3.338605294608008034e-01 4.346957542217205067e-02 4.302650746001693283e-02 4.389023998282615829e-02 4.264681889648019864e-02 4.426785901616213381e-02 4.221458988712852717e-02 4.475873211195263712e-02
6.309573444801917188e+13 4.683087347734237937e+02 4.677597238732527103e+02 4.688958248151069483e+02 4.672421114921417598e+02 4.695568170260040120e+02 4.667532285970901285e+02 4.699949818315579932e+02 3.319675331909460736e-01 3.308814341210038479e-01 3.331269511138939543e-01 3.299044423579614582e-01 3.342195959963246699e-01 3.285548161274738366e-01 3.350492915245255610e-01 4.351907959722876168e-02 4.302694391344152880e-02 4.400579853068337099e-02 4.254813647429523532e-02 4.450668970301262239e-02 4.198036649100179291e-02 4.478018918765638845e-02
7.943282347242789062e+13 5.060181066714864073e+02 5.052914530744483841e+02 5.067762981566501139e+02 5.045647984123691572e+02 5.074225822291071495e+02 5.033851231528110475e+02 5.082029826976762479e+02 3.332862987555170742e-01 3.320018171183581335e-01 3.344538178008368834e-01 3.307093933343144831e-01 3.355737946433596242e-01 3.296306798579391462e-01 3.365582480151268485e-01 4.363639767598907065e-02 4.307880650678246048e-02 4.418604478873713881e-02 4.249043849165196063e-02 4.474464898254024159e-02 4.202144131285347889e-02 4.532633620726295859e-02
9.999999999999959375e+13 5.469808178287531746e+02 5.459795984787608631e+02 5.479401076096053202e+02 5.450625461924017827e+02 5.488427098411591487e+02 5.442199382447421385e+02 5.496227074465540454e+02 3.345444373812525574e-01 3.330505248242946470e-01 3.359429671459258637e-01 3.319036748611581822e-01 3.374451103660122686e-01 3.307157984985290566e-01 3.389099481062275432e-01 4.383805132963983220e-02 4.319121478877299691e-02 4.453463505037724007e-02 4.252559586218158938e-02 4.521941512024319626e-02 4.205917774328254283e-02 4.575618630491084388e-02
1.258925411794161094e+14 5.915255394681903454e+02 5.900763180612083261e+02 5.928581800862883711e+02 5.888552548202496837e+02 5.943246681134818346e+02 5.875299241575216911e+02 5.958833633322923333e+02 3.357832047926271879e-01 3.340528506715096380e-01 3.375652687131832641e-01 3.325061838568039163e-01 3.394295061694541094e-01 3.308375726143952811e-01 3.413880175994681854e-01 4.421871440827290084e-02 4.334023184088183628e-02 4.510595041819497053e-02 4.249764502536331617e-02 4.594194221673363748e-02 4.183839030548206633e-02 4.709631079236095003e-02
1.584893192461104375e+14 6.399261242317396636e+02 6.380769021961823455e+02 6.417374892742823249e+02 6.363359774946661673e+02 6.437205087258269032e+02 6.347301770907423588e+02 6.449587041530348870e+02 3.370715557663221396e-01 3.349245601713837228e-01 3.391108799828428388e-01 3.329422759112892760e-01 3.412846652284692306e-01 3.311800729506287344e-01 3.426140833794181773e-01 4.457804464423342078e-02 4.355110943792133565e-02 4.572206070425795937e-02 4.252351914992184845e-02 4.675588609782783955e-02 4.158108631538181416e-02 4.775410087338725906e-02
1.995262314968866562e+14 6.915757649594276018e+02 6.891429775991203996e+02 6.942767913677658953e+02 6.864947507693640318e+02 6.968043722943846205e+02 6.848009177296003145e+02 6.998622307460101410e+02 3.372646894354159874e-01 3.348272707913877988e-01 3.400391915712428492e-01 3.322466984738134399e-01 3.425943152376645928e-01 3.303639584859464629e-01 3.456477499371837236e-01 4.497074724141739144e-02 4.363297117438365291e-02 4.624719169945123998e-02 4.246868571248670066e-02 4.757806874163850175e-02 4.116205659076520307e-02 4.870847212784389785e-02
2.511886431509561562e+14 7.473382286091800779e+02 7.437414755819003176e+02 7.510280737434831053e+02 7.408729394200909155e+02 7.543988351435319828e+02 7.390354346862040984e+02 7.569378764406112623e+02 3.372412785321352580e-01 3.338315238604396273e-01 3.406037150373865674e-01 3.311338337206016225e-01 3.436663089791116010e-01 3.282468652584683566e-01 3.467564494870502001e-01 4.507995914749146626e-02 4.354854479213200735e-02 4.656740914603777620e-02 4.193908444285236736e-02 4.827399194835702706e-02 4.020807741814089870e-02 4.936660433122104508e-02
3.162277660168353750e+14 8.068927050927616165e+02 8.015490182191092572e+02 8.122344818787531722e+02 7.969755412259081595e+02 8.175686438467378139e+02 7.907987153848368962e+02 8.225813862248409123e+02 3.364659146987659666e-01 3.318200267933459346e-01 3.405614888381510719e-01 3.276824562498725224e-01 3.447004596942731536e-01 3.233671603735112643e-01 3.490710733547509603e-01 4.533641358363583312e-02 4.344431327912990498e-02 4.716408690384815000e-02 4.145780097362030542e-02 4.905367780944724226e-02 4.001387562998176550e-02 5.111278897668582177e-02
3.981071705534936875e+14 8.700268044959417466e+02 8.629574161222644761e+02 8.773680839295432179e+02 8.558918044520413559e+02 8.848873034394287060e+02 8.505956556856305042e+02 8.927757405032097040e+02 3.347233660080469742e-01 3.294240514802790898e-01 3.402429460052987520e-01 3.249215504555902356e-01 3.454113675923177196e-01 3.201271126761717212e-01 3.502390016098878012e-01 4.526949814233085373e-02 4.300816787981601164e-02 4.744837197689526914e-02 4.108207273637732443e-02 4.974794617842263206e-02 3.922648061190745633e-02 5.145305598865038826e-02
