# log10(M200c)[Msun] log10(<sigmaDM>)[km/s] log10(sigmaDM)+ log10(sigmaDM)- log10(sigmaDM)++ log10(sigmaDM)-- log10(sigmaDM)+++ log10(sigmaDM)--- <slope> slope+ slope- slope++ slope-- slope+++ slope--- <scatter>[ln] scatter+ scatter- scatter++ scatter-- scatter+++ scatter---
3.162277660168379297e+13 3.371609299731611031e+02 3.366661743955131101e+02 3.376289263971063406e+02 3.362530182852583494e+02 3.381562450455400040e+02 3.359247100186252055e+02 3.386866310623533423e+02 3.089707316352909294e-01 3.067725901685893208e-01 3.109775554045400847e-01 3.047279618793010125e-01 3.128996776150917425e-01 3.029089520511328848e-01 3.144618015653936616e-01 1.216187007720061358e-01 1.181421486346501820e-01 1.252545655442513228e-01 1.149222044072473886e-01 1.285292227080935823e-01 1.118189324174812260e-01 1.314732220056614997e-01
3.981071705534969531e+13 3.621746633337082812e+02 3.616986848542429698e+02 3.627252470593873568e+02 3.611539093571613535e+02 3.632523650373292980e+02 3.606393696713009831e+02 3.637213136459074576e+02 3.103186760169855951e-01 3.086190102357719289e-01 3.121294711257464050e-01 3.069874222261153585e-01 3.138045368607769170e-01 3.045633668861108534e-01 3.155988045645486406e-01 1.155602827025336565e-01 1.120028091648730961e-01 1.189551795293330855e-01 1.091088328043398198e-01 1.223651813256409759e-01 1.066860583135945811e-01 1.253165545035653528e-01
5.011872336272714844e+13 3.893956627391571033e+02 3.888338307692063154e+02 3.899704669128178125e+02 3.883034904346307599e+02 3.905213358088338396e+02 3.878493081310843422e+02 3.909866890873170746e+02 3.124439405374638268e-01 3.107204285364837393e-01 3.139316410052935269e-01 3.092911740259541298e-01 3.155985316460195311e-01 3.078539642660564901e-01 3.170748020076961105e-01 1.087713442551858645e-01 1.055671984413314030e-01 1.121921244253513833e-01 1.024122991511088321e-01 1.151614415706534028e-01 9.948492561684471602e-02 1.192228946354832453e-01
6.309573444801917188e+13 4.190115439317599453e+02 4.184321502107279684e+02 4.196711359109211230e+02 4.177683622228075251e+02 4.202799069944542225e+02 4.173183755688654628e+02 4.209827303726086143e+02 3.152209943711961615e-01 3.138176747621150842e-01 3.167477606483500852e-01 3.124302724071348347e-01 3.181558888952336073e-01 3.106409362014067033e-01 3.200381219038165304e-01 1.013597184647964666e-01 9.802470490774131684e-02 1.046860632469142072e-01 9.482109290605465757e-02 1.079313283957231556e-01 9.223260907128723318e-02 1.117522709985618173e-01
7.943282347242789062e+13 4.511624156945962341e+02 4.505034814857579590e+02 4.518154278212270469e+02 4.499055418134786350e+02 4.525239517914564544e+02 4.492418658150251645e+02 4.530747196700233417e+02 3.182878990715131695e-01 3.169031875305060586e-01 3.198932566776083175e-01 3.155129260348945586e-01 3.213469150147847953e-01 3.141537916378360773e-01 3.222535488731484987e-01 9.367325832037755318e-02 9.063104083566633773e-02 9.678767754007906732e-02 8.832707371929965356e-02 1.000244116977376391e-01 8.621797648208466558e-02 1.041553424832519781e-01
9.999999999999959375e+13 4.864887522699183364e+02 4.857649133172171219e+02 4.872430248602192364e+02 4.849575323150176018e+02 4.879873358469326377e+02 4.844521735569366001e+02 4.884911195487266014e+02 3.219074172015741198e-01 3.204263658564232009e-01 3.234263619296237624e-01 3.188448172417487902e-01 3.248285556572322874e-01 3.178118684451852749e-01 3.263487516239985675e-01 8.649865831418905582e-02 8.380805702583619954e-02 8.971204316049040395e-02 8.141380333403878955e-02 9.252857802059112624e-02 7.828850718538760134e-02 9.607434503675589543e-02
1.258925411794161094e+14 5.247838003249333951e+02 5.240158441029250298e+02 5.255898983509213167e+02 5.231730942059226663e+02 5.264239611614627847e+02 5.223277223013507182e+02 5.272171294301376747e+02 3.253980528404896155e-01 3.240106236534951445e-01 3.268732397916972454e-01 3.224319014224298341e-01 3.283312682237385927e-01 3.208702073492063489e-01 3.296504287683417189e-01 7.972759995076512951e-02 7.713783234525424526e-02 8.247313014007057186e-02 7.484870411912428190e-02 8.491888082787624192e-02 7.342336142865552029e-02 8.765581767320690387e-02
1.584893192461104375e+14 5.665597060715923590e+02 5.656662038807378394e+02 5.674291404119051094e+02 5.648979177603412154e+02 5.683855892226190463e+02 5.641692031843527957e+02 5.694507055166789087e+02 3.286322764430316123e-01 3.272378943362931336e-01 3.300291931585229710e-01 3.258227746640452449e-01 3.313575997369321291e-01 3.240902762652471125e-01 3.328221826052276677e-01 7.331487764599162182e-02 7.096040670046821486e-02 7.584374382231584555e-02 6.905612295114064991e-02 7.813732528561447011e-02 6.733065039073241054e-02 8.187248866310048445e-02
1.995262314968866562e+14 6.119182015365362304e+02 6.109677652013594980e+02 6.128501688344296099e+02 6.100677847264794309e+02 6.138094697550974388e+02 6.089239367001322307e+02 6.146758097798401650e+02 3.310049738728967350e-01 3.296676360574752884e-01 3.323364001017514724e-01 3.282613198029204482e-01 3.335706597941319740e-01 3.268299480319832861e-01 3.348575843003754882e-01 6.794611581203377493e-02 6.571899770985728528e-02 7.033715040298796350e-02 6.362182087141106390e-02 7.279309136200459718e-02 6.184597556877591273e-02 7.516344342831147995e-02
2.511886431509561562e+14 6.608424400270357637e+02 6.598468813118871594e+02 6.619519876337532196e+02 6.588207449518813519e+02 6.630175645372975168e+02 6.579172328715088724e+02 6.639412012431832864e+02 3.324501491717445356e-01 3.309744878450319727e-01 3.338416280792101398e-01 3.297071557160605182e-01 3.351508706893795986e-01 3.287358251576851798e-01 3.361093095895475447e-01 6.286895053951210843e-02 6.053962427428380422e-02 6.506667056232516566e-02 5.843012708518651593e-02 6.732174390285132481e-02 5.650007425631191349e-02 7.039531036216002680e-02
