# log10(M200c)[Msun] log10(<sigmaDM>)[km/s] log10(sigmaDM)+ log10(sigmaDM)- log10(sigmaDM)++ log10(sigmaDM)-- log10(sigmaDM)+++ log10(sigmaDM)--- <slope> slope+ slope- slope++ slope-- slope+++ slope--- <scatter>[ln] scatter+ scatter- scatter++ scatter-- scatter+++ scatter---
3.162277660168379297e+13 3.663963194583055838e+02 3.660784268519772695e+02 3.667425245530370148e+02 3.657718297330353039e+02 3.670891419706694023e+02 3.653900076698668613e+02 3.674772102127997755e+02 3.180749172513936962e-01 3.166921885236125278e-01 3.194243981133343402e-01 3.152914279400171882e-01 3.207801156445747592e-01 3.137855012120459586e-01 3.219332865958501877e-01 7.511951791760937414e-02 7.335774526688365604e-02 7.679874011551829360e-02 7.184490838900141341e-02 7.874181864354966309e-02 7.034926082643515322e-02 7.999126367303301122e-02
3.981071705534969531e+13 3.945468986111019376e+02 3.941682737306603030e+02 3.949085000867469262e+02 3.937885655928508868e+02 3.952398554295784834e+02 3.933002091911694720e+02 3.955295254118156549e+02 3.198989827809705089e-01 3.186251585641188822e-01 3.211715200971133610e-01 3.175184411541649432e-01 3.224333788473888740e-01 3.165235294841435287e-01 3.235444324650837977e-01 7.147702859327835501e-02 6.981941553898003694e-02 7.295372785044761110e-02 6.826342970494372886e-02 7.460483032449427565e-02 6.626516905111819178e-02 7.579632589495653716e-02
5.011872336272714844e+13 4.250841679231573380e+02 4.246625211487825595e+02 4.254858401399396257e+02 4.242345956853270081e+02 4.258936902410702032e+02 4.239240054840549305e+02 4.263218933686839591e+02 3.218382081484302271e-01 3.206842186046273135e-01 3.230100422584228914e-01 3.194444753122572811e-01 3.242914501388751147e-01 3.181038196968800635e-01 3.255259968609027221e-01 6.784571621103167860e-02 6.650913419174506180e-02 6.929546523447209505e-02 6.517961635701148559e-02 7.057259260366775810e-02 6.333154036640993578e-02 7.191494686160251892e-02
6.309573444801917188e+13 4.582175250699270350e+02 4.577555416002750803e+02 4.587346121246582697e+02 4.572533523233331607e+02 4.591746559518906565e+02 4.567889315630994815e+02 4.596339871188467896e+02 3.237959569882860045e-01 3.227471191945623930e-01 3.249324496893524206e-01 3.217645598044056032e-01 3.261498670685263890e-01 3.208737896284706292e-01 3.271551043756578681e-01 6.419080533425269852e-02 6.284917440536585964e-02 6.550813827436319237e-02 6.171433022059311796e-02 6.679574285658378130e-02 6.050789347273251989e-02 6.815111748935781533e-02
7.943282347242789062e+13 4.941585574219872683e+02 4.936009568030447099e+02 4.947352005381910089e+02 4.930898250197131460e+02 4.952227121478870231e+02 4.923073672741890050e+02 4.960017813508279687e+02 3.257549199383935612e-01 3.246875428779404937e-01 3.269315061976258985e-01 3.235694473149526296e-01 3.279977070102353953e-01 3.226772971562024139e-01 3.288885818705482578e-01 6.075342125876619093e-02 5.956198503382116594e-02 6.189244298867214306e-02 5.829215498145870478e-02 6.321728405262476425e-02 5.712523834041534354e-02 6.446080586528167566e-02
9.999999999999959375e+13 5.332281598927469304e+02 5.325723785679776938e+02 5.338876082865607486e+02 5.319488832661014612e+02 5.345422785778548587e+02 5.312761797829406305e+02 5.351550221709304651e+02 3.278097532236086686e-01 3.266628074588133757e-01 3.289608093461092730e-01 3.254343678074755331e-01 3.299439425426241579e-01 3.243459934405533707e-01 3.308936588527429667e-01 5.762491664365583521e-02 5.648487103322477609e-02 5.882380287186504686e-02 5.535507266220437289e-02 5.999151411043372045e-02 5.413575614084047832e-02 6.137659752905610944e-02
1.258925411794161094e+14 5.756572252083285548e+02 5.749039161865389360e+02 5.764368968528690402e+02 5.742428653928201356e+02 5.771369067646811573e+02 5.737319386366280014e+02 5.780067647180833319e+02 3.297377465826965559e-01 3.285312930833695355e-01 3.309808324577183658e-01 3.273357172291599948e-01 3.322076807905307572e-01 3.262724875185006868e-01 3.330870266077904374e-01 5.493552415561795549e-02 5.383634038859926030e-02 5.607220754177801719e-02 5.286380865217608915e-02 5.725202653186945573e-02 5.199761367703883974e-02 5.881515309245738399e-02
1.584893192461104375e+14 6.217487767320183139e+02 6.207732996037539124e+02 6.226709504581292549e+02 6.199962582822864761e+02 6.234896129592923444e+02 6.194334949330369682e+02 6.247976416574106224e+02 3.315303173640526957e-01 3.301406926799304586e-01 3.330016381366778244e-01 3.289221440033733290e-01 3.342384265563006496e-01 3.281287519793706919e-01 3.359361552453463129e-01 5.258985560002453485e-02 5.158837255737121208e-02 5.382707551016386455e-02 5.045904686959998969e-02 5.511890205547313737e-02 4.965502493797009642e-02 5.600042959306954227e-02
1.995262314968866562e+14 6.719230924690489246e+02 6.708103919742457038e+02 6.730967697781841252e+02 6.698505296607982018e+02 6.741616412291125471e+02 6.689673728078681734e+02 6.750675008604264349e+02 3.338331924309096421e-01 3.322392561238011743e-01 3.352934129877457869e-01 3.308943340334177252e-01 3.367547101650762986e-01 3.288264588046034831e-01 3.379558232932430295e-01 5.068906968622622494e-02 4.965872942346682278e-02 5.181109771983478940e-02 4.858397321885710857e-02 5.285081130416374728e-02 4.733040938990602797e-02 5.434874734716663852e-02
2.511886431509561562e+14 7.267289077340609538e+02 7.252844975043777822e+02 7.282064654021020260e+02 7.240953589066513132e+02 7.297608646987443990e+02 7.232010365338906013e+02 7.311792710756027418e+02 3.364743558304493232e-01 3.346163313958191443e-01 3.382093590244230064e-01 3.329264611602316126e-01 3.400512507338199764e-01 3.312662362783592718e-01 3.414117496625200809e-01 4.917642661206779453e-02 4.803678998570427849e-02 5.023374346286266223e-02 4.706561461567702193e-02 5.144580391029444921e-02 4.588049286489871009e-02 5.257925411713933878e-02
