# Redshift log10(MStarSat_Threshold)[msun] <norm>[dex] norm+ norm- norm++ norm-- norm+++ norm--- <slope> slope+ slope- slope++ slope-- slope+++ slope--- <scatter>[ln] scatter+ scatter- scatter++ scatter-- scatter+++ scatter---
0.000000000000000000e+00 1.039999999999999325e+01 2.695681307491042400e+00 2.697119777201065105e+00 2.694100224683107836e+00 2.698375368608187053e+00 2.692815730462279067e+00 2.699371266205314868e+00 2.691635140024781769e+00 3.451358596361542297e-01 3.473340860040165512e-01 3.428827942796016659e-01 3.493650478701032513e-01 3.407792274707495683e-01 3.517540206389861424e-01 3.390658753030735273e-01 1.334877013680193514e-01 1.368525984564809561e-01 1.305034466726927578e-01 1.401586538366230150e-01 1.275477613259541620e-01 1.440079498670489289e-01 1.246070023959633538e-01
0.000000000000000000e+00 1.049999999999999289e+01 2.683925817569223771e+00 2.685643416677474082e+00 2.682226679191931584e+00 2.687265451565195473e+00 2.680673687126901683e+00 2.688994400049031341e+00 2.679244410769978657e+00 3.516809878971149939e-01 3.541332930425694636e-01 3.492058794910467001e-01 3.563641993596761148e-01 3.467281897837978799e-01 3.589148362074860432e-01 3.447836711277530997e-01 1.439283018769573208e-01 1.479353022276209684e-01 1.396757022682771909e-01 1.518151672173331523e-01 1.359991218431844118e-01 1.549138641732927257e-01 1.333225819540651558e-01
0.000000000000000000e+00 1.059999999999999254e+01 2.678064747017294689e+00 2.680085257772856444e+00 2.676112503022231248e+00 2.682172305180247740e+00 2.674049491899621156e+00 2.684848587639808493e+00 2.672001425100680727e+00 3.560676856250488687e-01 3.590233598791334191e-01 3.532128200090689507e-01 3.615884052849096530e-01 3.503861387949964712e-01 3.640330666097665868e-01 3.467635346944875629e-01 1.466041843968633462e-01 1.510048231263556306e-01 1.425141873110216673e-01 1.552304292898562532e-01 1.390691190262824950e-01 1.594810121619044951e-01 1.367818848537628307e-01
0.000000000000000000e+00 1.069999999999999218e+01 2.673652361106429787e+00 2.676092377199991379e+00 2.671149181376186732e+00 2.678307025651988749e+00 2.668780648871845074e+00 2.679928996041795131e+00 2.666665883577533425e+00 3.592904272506713959e-01 3.627290236838492943e-01 3.558041675669008641e-01 3.662130645607805102e-01 3.527884456701056992e-01 3.701401520482176521e-01 3.494509500203707986e-01 1.600502123200554516e-01 1.647349326949489323e-01 1.553454830621791849e-01 1.703524571557395451e-01 1.507048329625044758e-01 1.745097462913644260e-01 1.455922147999854921e-01
0.000000000000000000e+00 1.079999999999999183e+01 2.669309660011375485e+00 2.672037818328357073e+00 2.666742000636464383e+00 2.674605654356027706e+00 2.663939326726565415e+00 2.677631176285762304e+00 2.662142027598418892e+00 3.613386477337354741e-01 3.649192581796146806e-01 3.577247743489817000e-01 3.686082010584729174e-01 3.545292730947127713e-01 3.719880776879534445e-01 3.513083016913711720e-01 1.646881233573031234e-01 1.694138626750084087e-01 1.595683375421717565e-01 1.743857183343097417e-01 1.555021327660658648e-01 1.798095679053811069e-01 1.523255960797492981e-01
0.000000000000000000e+00 1.089999999999999147e+01 2.661520407361596341e+00 2.664468756127214899e+00 2.658327777795711722e+00 2.667243218281494244e+00 2.655597281606007165e+00 2.670348540353139288e+00 2.652825704004424967e+00 3.658189980103720984e-01 3.701931611334027261e-01 3.619816025158176243e-01 3.742927404117333268e-01 3.582611825393669513e-01 3.780792047883641538e-01 3.540657732830162496e-01 1.686049346743679345e-01 1.751944689005446310e-01 1.617739582421592326e-01 1.809673150231251304e-01 1.557877102260670776e-01 1.853495284397718434e-01 1.518239527707558600e-01
0.000000000000000000e+00 1.099999999999999112e+01 2.648639515055148053e+00 2.652165754426493383e+00 2.645003510541691139e+00 2.655657532616235716e+00 2.641868562793678876e+00 2.659528079373342013e+00 2.638404579349341805e+00 3.757363638551369789e-01 3.804899121690158426e-01 3.710283891022825853e-01 3.852590666548906251e-01 3.663294191343043349e-01 3.883294426693561507e-01 3.610818699441789015e-01 1.767145590946261613e-01 1.845024979234254903e-01 1.692720918821264964e-01 1.908710590526322970e-01 1.629526737723650254e-01 1.962602012811872632e-01 1.550429238331911541e-01
4.898689999999999989e-01 8.999999999999998224e+00 2.684920889790277876e+00 2.685925997016961553e+00 2.683902238170907673e+00 2.686794850733067896e+00 2.682940554102821729e+00 2.687523879587474962e+00 2.682187256458801183e+00 3.602695541504974397e-01 3.625413078226045194e-01 3.581235341518242410e-01 3.647052467577594492e-01 3.564645197723852466e-01 3.667043349822979859e-01 3.536594940423204991e-01 1.456903115859213838e-01 1.479567131809192970e-01 1.435201914187609618e-01 1.502497787354281633e-01 1.411017599898277408e-01 1.525381943604604829e-01 1.384869253322170146e-01
4.898689999999999989e-01 9.199999999999997513e+00 2.685421655604484314e+00 2.686386343452507486e+00 2.684345824837973460e+00 2.687312365094681965e+00 2.683393787726009450e+00 2.688106857619825263e+00 2.682229313476107713e+00 3.604441105999733885e-01 3.627347965677629738e-01 3.582527452434492998e-01 3.647952698603924571e-01 3.563115061874921885e-01 3.676223384587751775e-01 3.545972824667265599e-01 1.444817001567213488e-01 1.468421689846668154e-01 1.421344654872092050e-01 1.491848558483851728e-01 1.397410393954343355e-01 1.521758568627324393e-01 1.369245587385767293e-01
4.898689999999999989e-01 9.399999999999996803e+00 2.685528540741723980e+00 2.686517798044967265e+00 2.684538049077433097e+00 2.687508521270640660e+00 2.683567679389615268e+00 2.688660611027617442e+00 2.682730036236743221e+00 3.596343067834517626e-01 3.618610279084475967e-01 3.573088798139213429e-01 3.641135684490990343e-01 3.553027345722411523e-01 3.665103306281519147e-01 3.530431616826288921e-01 1.436833998285997893e-01 1.460477752790056982e-01 1.414628681373412689e-01 1.482092664787876823e-01 1.393606607617956239e-01 1.506041134574179485e-01 1.374796796328328907e-01
