# log10(M200c)[Msun] log10(<sigmaDM>)[km/s] log10(sigmaDM)+ log10(sigmaDM)- log10(sigmaDM)++ log10(sigmaDM)-- log10(sigmaDM)+++ log10(sigmaDM)--- <slope> slope+ slope- slope++ slope-- slope+++ slope--- <scatter>[ln] scatter+ scatter- scatter++ scatter-- scatter+++ scatter---
3.162277660168379297e+13 2.984279117988324970e+02 2.981744996319386019e+02 2.986607467493063268e+02 2.979475089816173181e+02 2.988768272497473504e+02 2.976503501176507598e+02 2.991716884792249402e+02 3.210795511560042836e-01 3.200992917319008813e-01 3.221709814499350566e-01 3.191552454716941600e-01 3.230315511278429863e-01 3.182339636928444015e-01 3.240398232710772763e-01 4.113946614328344020e-02 4.028589581208916193e-02 4.213383413708934183e-02 3.940067472540161042e-02 4.314949696391211925e-02 3.878807957030298154e-02 4.471404212096544151e-02
3.981071705534969531e+13 3.215513397064747210e+02 3.212726480723654845e+02 3.218562309599198556e+02 3.209899029411901665e+02 3.221214894499731258e+02 3.207195973661493440e+02 3.224542662888432005e+02 3.229359761481320756e-01 3.217716815361967297e-01 3.239781615762207800e-01 3.206995369798542050e-01 3.250020455216744431e-01 3.198640827835121936e-01 3.260417834126450032e-01 4.100818653769747885e-02 4.008461572516537619e-02 4.192646880301286599e-02 3.935112673740634448e-02 4.292604951319636819e-02 3.851083834028851127e-02 4.386974626802849636e-02
5.011872336272714844e+13 3.466727336793265408e+02 3.463466772899104171e+02 3.470246159245485842e+02 3.460269261100595486e+02 3.473763143567582574e+02 3.456838921776894722e+02 3.477202539861511355e+02 3.248455806233376819e-01 3.237257625949255813e-01 3.259113668918752760e-01 3.226652115906599172e-01 3.269669910645656152e-01 3.218476090136229706e-01 3.277690031563519346e-01 4.072152476160082607e-02 3.984019327686647710e-02 4.161745430681114410e-02 3.905871584154883835e-02 4.249935239708944879e-02 3.826122025739352867e-02 4.370590188850899394e-02
6.309573444801917188e+13 3.740331322705113166e+02 3.735626944828009073e+02 3.744515003724239932e+02 3.731514668860472170e+02 3.748530185025712171e+02 3.726954628006949406e+02 3.753175842344224407e+02 3.269022910699832529e-01 3.257339115530126783e-01 3.280788730477089965e-01 3.245675260515707983e-01 3.291268489935478270e-01 3.234910671436063145e-01 3.302820473114435051e-01 4.066063244921871989e-02 3.971244075407666385e-02 4.154776884399911246e-02 3.884955581647129425e-02 4.259748236479529715e-02 3.807070343929563200e-02 4.331848473746621742e-02
7.943282347242789062e+13 4.037470051577651020e+02 4.032037047686172286e+02 4.043007030700894120e+02 4.025945176170878312e+02 4.048181530871634095e+02 4.018368611498906375e+02 4.052272596859534133e+02 3.290443594071602584e-01 3.276999837956197648e-01 3.302927736682605420e-01 3.262645494668223733e-01 3.316334979295432195e-01 3.246306531925048366e-01 3.326286675675780291e-01 4.051140442844655687e-02 3.961196445784877229e-02 4.136837082965501289e-02 3.859544204049596139e-02 4.230903268756021351e-02 3.755621859212017466e-02 4.327582107291852442e-02
9.999999999999959375e+13 4.359698946569982922e+02 4.352715292856140650e+02 4.366481919129631137e+02 4.347258252801028675e+02 4.373252076169628708e+02 4.339649410044341380e+02 4.378367695059312155e+02 3.308453448599810720e-01 3.295028072731546742e-01 3.322733413519643464e-01 3.281228160641735947e-01 3.335345151353367177e-01 3.270162211329020741e-01 3.349409736858046660e-01 4.040502037984524536e-02 3.936907311516555513e-02 4.140904448129722332e-02 3.834003268712077306e-02 4.241596596103328065e-02 3.773703433982526778e-02 4.318664474225165917e-02
1.258925411794161094e+14 4.710810876126942048e+02 4.702797149852900702e+02 4.719456831192750315e+02 4.694248254769363484e+02 4.726832407488829517e+02 4.687015929075946019e+02 4.737908966503648003e+02 3.328224189104436737e-01 3.313687095769985991e-01 3.342953640750451205e-01 3.301655950640081660e-01 3.359442086122253479e-01 3.288477208954976305e-01 3.375276475453752312e-01 4.040557967946615398e-02 3.924782533179357186e-02 4.152122795902248031e-02 3.820943715300469806e-02 4.271270913685223242e-02 3.717101920914095414e-02 4.380994360890801131e-02
1.584893192461104375e+14 5.091646228863439205e+02 5.081697145482788187e+02 5.102105699462381949e+02 5.071372064401080593e+02 5.113047907624768413e+02 5.065464786888093727e+02 5.122135115317411191e+02 3.346799567264507336e-01 3.329054229683818256e-01 3.363049066616543570e-01 3.313761767659956781e-01 3.378191862633850850e-01 3.302078471018238259e-01 3.396731247884692828e-01 4.022238122339061306e-02 3.888522444985273441e-02 4.145373983787958849e-02 3.749501693967530191e-02 4.261114557751517762e-02 3.649040110211636961e-02 4.383066720029208524e-02
1.995262314968866562e+14 5.507321535957717060e+02 5.494917964996877799e+02 5.519894307034395524e+02 5.482631584733658201e+02 5.529914378829513453e+02 5.471723333664231177e+02 5.543737057885585955e+02 3.365931381249257504e-01 3.346319639604605212e-01 3.384366570373470995e-01 3.327616264570462112e-01 3.403705117252223689e-01 3.307894051468970309e-01 3.428782954277056483e-01 3.996256827516223714e-02 3.849195801870464867e-02 4.135435536625366865e-02 3.719394562275163407e-02 4.265479842572923036e-02 3.597314858782614533e-02 4.459212853235107465e-02
2.511886431509561562e+14 5.959479283323282743e+02 5.944517681613627929e+02 5.974828381096260728e+02 5.929233199029794150e+02 5.988698938351894867e+02 5.907588944196958209e+02 6.006968809192150047e+02 3.386383782387117902e-01 3.363825558407578242e-01 3.407880546795286625e-01 3.343475681648905851e-01 3.427499585532042259e-01 3.325367550725177312e-01 3.452405776583712393e-01 3.942674696295353498e-02 3.778356224830239918e-02 4.104432281701619889e-02 3.617713089532311604e-02 4.259960934732010679e-02 3.507942670186016410e-02 4.392083922436257337e-02
3.162277660168353750e+14 6.455500842081846713e+02 6.435873799293050297e+02 6.474273683201980703e+02 6.416440819965247329e+02 6.493414274722944128e+02 6.394994057084520591e+02 6.517016276994100963e+02 3.411132368324707453e-01 3.384959986298941570e-01 3.436458789623315635e-01 3.361276175163075419e-01 3.458015801128740963e-01 3.337378505187775790e-01 3.481250698418427714e-01 3.846502673224837937e-02 3.696709056812642197e-02 4.028236270530458074e-02 3.528904784103869402e-02 4.196947376515328815e-02 3.425382312408261493e-02 4.383200072469563280e-02
3.981071705534936875e+14 6.995590511563812015e+02 6.970970012510944116e+02 7.021579885662345077e+02 6.945166158774736687e+02 7.045421569780916116e+02 6.926430728759754629e+02 7.064204274031117166e+02 3.435828653182707582e-01 3.407149548777612114e-01 3.464156427532216198e-01 3.373651296983072867e-01 3.496048777724334866e-01 3.354487901741729505e-01 3.510372938346105198e-01 3.757829936722528047e-02 3.592091601864475653e-02 3.931320236622336262e-02 3.416631967381560803e-02 4.106840415748452128e-02 3.314716137944678093e-02 4.243503821864334086e-02
5.011872336272673750e+14 7.587440104068969049e+02 7.556032599026368644e+02 7.619787722159898067e+02 7.521442461355206888e+02 7.648433623464293305e+02 7.469375812340640550e+02 7.700683227635063304e+02 3.461831664916496520e-01 3.430794447472385600e-01 3.493406224428747819e-01 3.392645227498655158e-01 3.523195887625150680e-01 3.353173852041009262e-01 3.554496427750255538e-01 3.648899853492480749e-02 3.452230832153757589e-02 3.835842219171461953e-02 3.284605583097469778e-02 4.017154373086159053e-02 3.160149688397972251e-02 4.160715510278514828e-02
6.309573444801865000e+14 8.243882730887913795e+02 8.200235632538979189e+02 8.285312290706129943e+02 8.161291863115704928e+02 8.323415251374229911e+02 8.119350857873805580e+02 8.358908920454177860e+02 3.494666681725800972e-01 3.456051183200417043e-01 3.530997983086145986e-01 3.413459475542163779e-01 3.561932783297852012e-01 3.385023644284872457e-01 3.595806059907209473e-01 3.533639557214954263e-02 3.334750957830839163e-02 3.712212782324304100e-02 3.159543808462961928e-02 3.886723128957331186e-02 2.994769115697009168e-02 4.144635590520947405e-02
