# Redshift log10(MStarSat_Threshold)[msun] log10(M200c)[msun] mean_velbias stddev_velbias
0.000000000000000000e+00 9.400000000000000355e+00 1.359999999999999964e+01 9.534394067850472387e-01 4.972664297332056449e-03
0.000000000000000000e+00 9.400000000000000355e+00 1.369999999999999929e+01 9.582121284273138473e-01 4.450602982082225122e-03
0.000000000000000000e+00 9.400000000000000355e+00 1.379999999999999893e+01 9.624800126257880839e-01 3.956217457972221498e-03
0.000000000000000000e+00 9.400000000000000355e+00 1.389999999999999858e+01 9.662331316864485320e-01 3.740457517850311660e-03
0.000000000000000000e+00 9.400000000000000355e+00 1.399999999999999822e+01 9.695604913835655925e-01 3.716864589213474297e-03
0.000000000000000000e+00 9.400000000000000355e+00 1.409999999999999787e+01 9.723233940756368376e-01 3.893872709779046346e-03
0.000000000000000000e+00 9.400000000000000355e+00 1.419999999999999751e+01 9.747928320556656923e-01 4.324363432583271626e-03
0.000000000000000000e+00 9.400000000000000355e+00 1.429999999999999716e+01 9.766574837786684560e-01 5.195252685650787912e-03
0.000000000000000000e+00 9.400000000000000355e+00 1.439999999999999680e+01 9.779555055510155137e-01 5.775976323499565183e-03
0.000000000000000000e+00 9.400000000000000355e+00 1.449999999999999645e+01 9.785017941122379215e-01 6.661069092290421330e-03
0.000000000000000000e+00 9.400000000000000355e+00 1.459999999999999609e+01 9.781667464179115701e-01 7.574845561925695400e-03
0.000000000000000000e+00 9.400000000000000355e+00 1.469999999999999574e+01 9.766728933855797212e-01 8.930892663982030119e-03
0.000000000000000000e+00 9.400000000000000355e+00 1.479999999999999538e+01 9.748278128688239175e-01 9.744811500971093526e-03
0.000000000000000000e+00 9.400000000000000355e+00 1.489999999999999503e+01 9.722302486811468247e-01 1.076707769728649060e-02
0.000000000000000000e+00 9.400000000000000355e+00 1.499999999999999467e+01 9.693152774600732879e-01 1.214750607580686315e-02
0.000000000000000000e+00 9.400000000000000355e+00 1.509999999999999432e+01 9.666238992805646912e-01 1.354798387753954579e-02
0.000000000000000000e+00 9.400000000000000355e+00 1.519999999999999396e+01 9.639999112761622468e-01 1.476807277553588739e-02
0.000000000000000000e+00 9.500000000000000000e+00 1.350000000000000000e+01 9.455236895986022239e-01 6.024277914080639063e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.359999999999999964e+01 9.507562423833370024e-01 5.394007829626151773e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.369999999999999929e+01 9.554326836577835547e-01 4.667166429511646238e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.379999999999999893e+01 9.596062294111802338e-01 4.192666057308622532e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.389999999999999858e+01 9.632655176444449019e-01 3.895427700057207000e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.399999999999999822e+01 9.665006786203240718e-01 4.002941794223876214e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.409999999999999787e+01 9.691722714707868835e-01 4.201095396380465953e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.419999999999999751e+01 9.715509914395153990e-01 4.647270869629152763e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.429999999999999716e+01 9.733256272921352314e-01 5.330330943372803797e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.439999999999999680e+01 9.745377731999693705e-01 6.177070920573373390e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.449999999999999645e+01 9.749986370648477951e-01 6.962971953214461447e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.459999999999999609e+01 9.745841911526176293e-01 8.152821832063669033e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.469999999999999574e+01 9.730105923670352430e-01 9.190295630960576556e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.479999999999999538e+01 9.710934035054449298e-01 1.034312309269450579e-02
0.000000000000000000e+00 9.500000000000000000e+00 1.489999999999999503e+01 9.684232236892863499e-01 1.130275016002208095e-02
0.000000000000000000e+00 9.500000000000000000e+00 1.499999999999999467e+01 9.654394194235447202e-01 1.278432487950242197e-02
0.000000000000000000e+00 9.500000000000000000e+00 1.509999999999999432e+01 9.626806107614969132e-01 1.438112527909249198e-02
0.000000000000000000e+00 9.500000000000000000e+00 1.519999999999999396e+01 9.599818223116580729e-01 1.529347044765729489e-02
0.000000000000000000e+00 9.699999999999999289e+00 1.350000000000000000e+01 9.341601190535511190e-01 6.707977346084087987e-03
0.000000000000000000e+00 9.699999999999999289e+00 1.359999999999999964e+01 9.401912572860797734e-01 5.887162795897001553e-03
0.000000000000000000e+00 9.699999999999999289e+00 1.369999999999999929e+01 9.456837600791724308e-01 5.192043641754733908e-03
0.000000000000000000e+00 9.699999999999999289e+00 1.379999999999999893e+01 9.506868764564390117e-01 4.624924032433401326e-03
0.000000000000000000e+00 9.699999999999999289e+00 1.389999999999999858e+01 9.551886932953652654e-01 4.245932433716705784e-03
0.000000000000000000e+00 9.699999999999999289e+00 1.399999999999999822e+01 9.592766195671861285e-01 4.130166224181335173e-03
0.000000000000000000e+00 9.699999999999999289e+00 1.409999999999999787e+01 9.628121608815156662e-01 4.282252666917380976e-03
0.000000000000000000e+00 9.699999999999999289e+00 1.419999999999999751e+01 9.660629459278520237e-01 4.839456631050171979e-03
