# log10(M200c)[Msun] log10(<sigmaDM>)[km/s] log10(sigmaDM)+ log10(sigmaDM)- log10(sigmaDM)++ log10(sigmaDM)-- log10(sigmaDM)+++ log10(sigmaDM)--- <slope> slope+ slope- slope++ slope-- slope+++ slope--- <scatter>[ln] scatter+ scatter- scatter++ scatter-- scatter+++ scatter---
3.162277660168353750e+14 7.120192651425157919e+02 7.110287310873688966e+02 7.130107846663026976e+02 7.101034820245422452e+02 7.139036396591841367e+02 7.091615260270793897e+02 7.146843502275578430e+02 3.327688751097134245e-01 3.318284260403856489e-01 3.339047416511935484e-01 3.307997321211711972e-01 3.349625259093302332e-01 3.298309407314944930e-01 3.359096189350400108e-01 4.442015771863532664e-02 4.359385569532236993e-02 4.530361915338287221e-02 4.282183694533896190e-02 4.612529968269715036e-02 4.185571698525323431e-02 4.689833973439842818e-02
3.981071705534936875e+14 7.692204084162422077e+02 7.679924294845126269e+02 7.703001071694560551e+02 7.668192523222051022e+02 7.715011391508829774e+02 7.656666639104806791e+02 7.724313288470856378e+02 3.336366461973482300e-01 3.324447998264062898e-01 3.348078275281163863e-01 3.313099419389417544e-01 3.360638589829813561e-01 3.301935704128575733e-01 3.368786263592808972e-01 4.417859463967450939e-02 4.328818706396134197e-02 4.515062161802768648e-02 4.229138409094052031e-02 4.620731855497896279e-02 4.149107803771946712e-02 4.710566809645874015e-02
5.011872336272673750e+14 8.308457773184244388e+02 8.294694241291251728e+02 8.322199998691286282e+02 8.283795756686973846e+02 8.334881487593585234e+02 8.267742831905351295e+02 8.342979328322347783e+02 3.340522165427219359e-01 3.329011064878025783e-01 3.352388337696475262e-01 3.316294741273169144e-01 3.365590306557041944e-01 3.308941341151611093e-01 3.374142394563462988e-01 4.394797576387913379e-02 4.285765577090445283e-02 4.502143845294304808e-02 4.197052531006620346e-02 4.612578852083326630e-02 4.131715994653294838e-02 4.763524653963288613e-02
6.309573444801865000e+14 8.973220081965301915e+02 8.956998970360190242e+02 8.989991565124431645e+02 8.944035619060930458e+02 9.004515246297336262e+02 8.929743689197133563e+02 9.022212873121777648e+02 3.343562135443983729e-01 3.328726136570825944e-01 3.357735008571004487e-01 3.314218246126270917e-01 3.371170554820986931e-01 3.303519194045948515e-01 3.382061650395341568e-01 4.341894492964391838e-02 4.221979794579150402e-02 4.458810849276207550e-02 4.113938754966608297e-02 4.586043727302600848e-02 4.018798024030295624e-02 4.755229698687504780e-02
7.943282347242723750e+14 9.694530951045586562e+02 9.674550351539380699e+02 9.712522149875450168e+02 9.653575030022060446e+02 9.729878129096249495e+02 9.637161477017887137e+02 9.750388752715415421e+02 3.347507956969518750e-01 3.331172831477222651e-01 3.363967267945870421e-01 3.314635519623390647e-01 3.380220860192050258e-01 3.297491874010983759e-01 3.392779298594189585e-01 4.275139575670546671e-02 4.154405623863444835e-02 4.403468552010295078e-02 4.044668108142770308e-02 4.519084597720701008e-02 3.897666471885939676e-02 4.645649849316202395e-02
9.999999999999877500e+14 1.047631203809210319e+03 1.045088670616108857e+03 1.050033322789681279e+03 1.042619812001909850e+03 1.052307594478524379e+03 1.040670959041251535e+03 1.054696758642762688e+03 3.357486610573938712e-01 3.334460502352075140e-01 3.377951603105550094e-01 3.312688211441425779e-01 3.397456115374174468e-01 3.298658710369709590e-01 3.426138982369268948e-01 4.215129365866343569e-02 4.087288839352197500e-02 4.340542444977441017e-02 3.976525593488681315e-02 4.452373876160353738e-02 3.875952113804475435e-02 4.625259027528646344e-02
1.258925411794150750e+15 1.132938128906708471e+03 1.129612708505598903e+03 1.136189369244181080e+03 1.126776317198774905e+03 1.139272504928486342e+03 1.123862881338104671e+03 1.141745369946796927e+03 3.371222968843622936e-01 3.345282425061615883e-01 3.399781183205449198e-01 3.320362293567038492e-01 3.424172736081323443e-01 3.290227625247085230e-01 3.450453851442158992e-01 4.160810192205876418e-02 4.048308235022177182e-02 4.300671745234679183e-02 3.920445977868236564e-02 4.438341281987615017e-02 3.801303395236543120e-02 4.590605361272889068e-02
1.584893192461091500e+15 1.225422195710612414e+03 1.220892041417510654e+03 1.229614053478970618e+03 1.217255204856283171e+03 1.233811456614551389e+03 1.212391386797238056e+03 1.237461639826926785e+03 3.388950510701116414e-01 3.355544846879148224e-01 3.422497158527493810e-01 3.324549417211894453e-01 3.454178135219778123e-01 3.285159605881499689e-01 3.483467473963602901e-01 4.107192754917974448e-02 3.966944273335803323e-02 4.255446338123087396e-02 3.814116011110882387e-02 4.399989300023800232e-02 3.726072347015193381e-02 4.525931405819041964e-02
1.995262314968850250e+15 1.326854857516825177e+03 1.321070188736187220e+03 1.332458734693741690e+03 1.315903781438871420e+03 1.339035224412220032e+03 1.311717170110070356e+03 1.343985234696960333e+03 3.408188938648619715e-01 3.369107679956434565e-01 3.448225160981097659e-01 3.326966222644948123e-01 3.491235552755317939e-01 3.275505135179255789e-01 3.527757852041718545e-01 4.084480385164285243e-02 3.921722017064890181e-02 4.239275230753549589e-02 3.776494472272616532e-02 4.386131956790751546e-02 3.606103370263682995e-02 4.492254094461777675e-02
2.511886431509541000e+15 1.437030873986019287e+03 1.428934507557082043e+03 1.445331360070102164e+03 1.422277501856098525e+03 1.452838077110686527e+03 1.407751595654367065e+03 1.460298905740363125e+03 3.428207795789554035e-01 3.379924433794366245e-01 3.474332321305882987e-01 3.333275345651878219e-01 3.521303511618319448e-01 3.264428261145081445e-01 3.554638389340416538e-01 4.079117157794157067e-02 3.889182457052417496e-02 4.248546191394010629e-02 3.735139220166155266e-02 4.423114193722540305e-02 3.490404478977975067e-02 4.552217355361105194e-02
3.162277660168327500e+15 1.557851802265905235e+03 1.546315881695309372e+03 1.569167053420098000e+03 1.534773194312377200e+03 1.579170186601632849e+03 1.526002984920109611e+03 1.590702354815144417e+03 3.446595621862256209e-01 3.388283623375792919e-01 3.501251667807853685e-01 3.332306368592382051e-01 3.550916379332118566e-01 3.286011959635243285e-01 3.612322048229752447e-01 4.063160008806653706e-02 3.857079964277794482e-02 4.285738050764354573e-02 3.670830944592302220e-02 4.467927659887069997e-02 3.485994177161122476e-02 4.709149201491932835e-02
3.981071705534904000e+15 1.690585465834390561e+03 1.674584280705559422e+03 1.704424860604635569e+03 1.659620665139055973e+03 1.719645475948293324e+03 1.648752318103204061e+03 1.734782006234343726e+03 3.465639361430300491e-01 3.398890406919904406e-01 3.526963762454244922e-01 3.334101500816504249e-01 3.589604467463720083e-01 3.263113397044193897e-01 3.652416630293950917e-01 4.046873888717185397e-02 3.814870438891330984e-02 4.279637785771850389e-02 3.594256857634511859e-02 4.501558894142427408e-02 3.380594913983658856e-02 4.749918347716951955e-02
5.011872336272633000e+15 1.833673904025933098e+03 1.815270184329040603e+03 1.851841931557535418e+03 1.791887776760753468e+03 1.868239725241855695e+03 1.773584272728154019e+03 1.891496252619853294e+03 3.481243970379718777e-01 3.416907814811488420e-01 3.548023117246228986e-01 3.331013960634476856e-01 3.605170723727839643e-01 3.272898639149539601e-01 3.663292042028549189e-01 4.000845567706325795e-02 3.734084173795845091e-02 4.259357967803405198e-02 3.508223986401770578e-02 4.523862882332833207e-02 3.315582658707703217e-02 4.707554247395005775e-02
