# log10(M200c)[Msun] log10(<sigmaDM>)[km/s] log10(sigmaDM)+ log10(sigmaDM)- log10(sigmaDM)++ log10(sigmaDM)-- log10(sigmaDM)+++ log10(sigmaDM)--- <slope> slope+ slope- slope++ slope-- slope+++ slope--- <scatter>[ln] scatter+ scatter- scatter++ scatter-- scatter+++ scatter---
3.162277660168379297e+13 3.656709473008881446e+02 3.651477015798584489e+02 3.661527146973506888e+02 3.647247716156964543e+02 3.666661351602114678e+02 3.641791136822109820e+02 3.671667618460683116e+02 3.247417647232163085e-01 3.227737410919110927e-01 3.265395896613230708e-01 3.211228158519514042e-01 3.281525296610426357e-01 3.195630492233607622e-01 3.303147400650545684e-01 4.730140911749376731e-02 4.647073681486667274e-02 4.816590848386120838e-02 4.564422787126518055e-02 4.918888003328730774e-02 4.521342539056827370e-02 5.033195335230546130e-02
3.981071705534969531e+13 3.943271768950095861e+02 3.936788983691856174e+02 3.950262259117241683e+02 3.930908697706354928e+02 3.955915709224793773e+02 3.925174314982704118e+02 3.963138465722258843e+02 3.260384495684438555e-01 3.241283307898463750e-01 3.280063104856111300e-01 3.223072321798854944e-01 3.298379946013160202e-01 3.206290180173205773e-01 3.315107944610025670e-01 4.746606189505740703e-02 4.650851211439496063e-02 4.849010880495680659e-02 4.566905759314349167e-02 4.940425627856848134e-02 4.477240643786560559e-02 5.048925819226477568e-02
5.011872336272714844e+13 4.255469381395142250e+02 4.246492559295675164e+02 4.264458874508167128e+02 4.238865165398245836e+02 4.272952048196988812e+02 4.232453434025996444e+02 4.278296762162042342e+02 3.278782309109565807e-01 3.257257038137411631e-01 3.298514491950396699e-01 3.235742092626726629e-01 3.317280694849445433e-01 3.223123182725898817e-01 3.332043488522491437e-01 4.778250113275427091e-02 4.669097634144550590e-02 4.885811555510315846e-02 4.578610479493980950e-02 4.999795011123323724e-02 4.462326439540251211e-02 5.108621792958651514e-02
6.309573444801917188e+13 4.595203492898246509e+02 4.583237257896970505e+02 4.605922348950302307e+02 4.573307510606433084e+02 4.616831249162552240e+02 4.564389513743147972e+02 4.630378693399958365e+02 3.296452631507826858e-01 3.273908128139199070e-01 3.319042077389601775e-01 3.248890902146870929e-01 3.342232204821430908e-01 3.229338049040894054e-01 3.364507842315046515e-01 4.808376072209108454e-02 4.700086204044357646e-02 4.927747470444186761e-02 4.576198347427030272e-02 5.051826208545689284e-02 4.499366481989493238e-02 5.161745637469354608e-02
7.943282347242789062e+13 4.966006788833989845e+02 4.951462693283949079e+02 4.980929307099710854e+02 4.935702509304472869e+02 4.995642806765599175e+02 4.925414166856629095e+02 5.005456191013981311e+02 3.319787937032784297e-01 3.294984809839047735e-01 3.343764978606068028e-01 3.269356541797094340e-01 3.368223954912446527e-01 3.246463570506546992e-01 3.393686319042631405e-01 4.846500703984489566e-02 4.718861304201994039e-02 4.979572489430938997e-02 4.593026125054300995e-02 5.111952003127221561e-02 4.491295613059777952e-02 5.273600334204432000e-02
9.999999999999959375e+13 5.369188038104186944e+02 5.349662757325447728e+02 5.390629884774581342e+02 5.330028145640942512e+02 5.412085413799627531e+02 5.305210847193141035e+02 5.428221993096192364e+02 3.340173593248970674e-01 3.310111793238454947e-01 3.371234704618388811e-01 3.279679797826906551e-01 3.400340411083564995e-01 3.245462824509950384e-01 3.427643991068866081e-01 4.886595892119442036e-02 4.737406820760941412e-02 5.033077835799817934e-02 4.600575541426649845e-02 5.166241583112985564e-02 4.386356596122411439e-02 5.299146508585900195e-02
1.258925411794161094e+14 5.807464106958948378e+02 5.781529907254962382e+02 5.832176814279157497e+02 5.752700714726645401e+02 5.857404781247440724e+02 5.736189211324701773e+02 5.873311639126575301e+02 3.355287662224149536e-01 3.320433062095210497e-01 3.390049674972729354e-01 3.282400511911084950e-01 3.425583956397719732e-01 3.255534631211212115e-01 3.445963006726358580e-01 4.910211509997777085e-02 4.749093269080090218e-02 5.091614758117481848e-02 4.595806659547099771e-02 5.251957688818032627e-02 4.457515844394649429e-02 5.423662303629632475e-02
1.584893192461104375e+14 6.275203465662301596e+02 6.243318488062820961e+02 6.310514104949908187e+02 6.210362293311389976e+02 6.349638154114916233e+02 6.180658269716510631e+02 6.392119148025625464e+02 3.359079402837816253e-01 3.319687475530749277e-01 3.401009752312882384e-01 3.280052803540549067e-01 3.442912510012956506e-01 3.256801541591318738e-01 3.486705911177938599e-01 4.921340595265524115e-02 4.737332758791532039e-02 5.121021419878950265e-02 4.554988107601878888e-02 5.326430093217804362e-02 4.339460120438685259e-02 5.515914024436729957e-02
1.995262314968866562e+14 6.768576713164798093e+02 6.726266928110023855e+02 6.817878073648338386e+02 6.686593278386386601e+02 6.862919983080465727e+02 6.642600773355158026e+02 6.914665777098217632e+02 3.346528277698633813e-01 3.297043861325305025e-01 3.394148787739695861e-01 3.257648888665849451e-01 3.443184024496564466e-01 3.204852675744314094e-01 3.498316866866786889e-01 4.906677140295588602e-02 4.691720084887772424e-02 5.134460889867985267e-02 4.494631182187893564e-02 5.384266753624456642e-02 4.256686976338630579e-02 5.543245983312823644e-02
2.511886431509561562e+14 7.284741236409206522e+02 7.231941678281685881e+02 7.344806606230258694e+02 7.177517245790705829e+02 7.407505407242911133e+02 7.138322815716617242e+02 7.471330124663226115e+02 3.308627822923448925e-01 3.257080273974219953e-01 3.366555707281032594e-01 3.215384179491972971e-01 3.422719086046759340e-01 3.172120532072103538e-01 3.489610449221380306e-01 4.877165933814533311e-02 4.618788369092123591e-02 5.119207585661052218e-02 4.375341099525502375e-02 5.395915279672731935e-02 4.186666671358571512e-02 5.648976385930587485e-02
