# Redshift log10(MStarSat_Threshold)[msun] log10(M200c)[msun] mean_velbias stddev_velbias
6.634019100000000668e-02 8.699999999999999289e+00 1.469999999999999574e+01 1.001058666709470746e+00 5.494840218672447305e-03
6.634019100000000668e-02 8.699999999999999289e+00 1.479999999999999538e+01 1.003982770851260309e+00 6.251498397122497511e-03
6.634019100000000668e-02 8.699999999999999289e+00 1.489999999999999503e+01 1.006262614151927304e+00 7.362242896957638116e-03
6.634019100000000668e-02 8.699999999999999289e+00 1.499999999999999467e+01 1.008109124400025758e+00 8.644073923826657915e-03
6.634019100000000668e-02 8.699999999999999289e+00 1.509999999999999432e+01 1.009411499355663100e+00 1.018184128419846214e-02
6.634019100000000668e-02 8.699999999999999289e+00 1.519999999999999396e+01 1.009785685238919761e+00 1.180003673097258267e-02
6.634019100000000668e-02 8.699999999999999289e+00 1.529999999999999361e+01 1.010606660242332477e+00 1.361194949033914074e-02
6.634019100000000668e-02 8.699999999999999289e+00 1.539999999999999325e+01 1.009743954640082153e+00 1.538338284997946281e-02
6.634019100000000668e-02 8.900000000000000355e+00 1.350000000000000000e+01 9.421990344542729989e-01 2.620819928633599631e-03
6.634019100000000668e-02 8.900000000000000355e+00 1.359999999999999964e+01 9.482871185412780068e-01 2.288638719893886647e-03
6.634019100000000668e-02 8.900000000000000355e+00 1.369999999999999929e+01 9.541728514825135177e-01 2.018136902167377063e-03
6.634019100000000668e-02 8.900000000000000355e+00 1.379999999999999893e+01 9.599248956126713583e-01 1.871350023210918354e-03
6.634019100000000668e-02 8.900000000000000355e+00 1.389999999999999858e+01 9.654581484476186803e-01 1.832470707954290783e-03
6.634019100000000668e-02 8.900000000000000355e+00 1.399999999999999822e+01 9.707075872977659614e-01 1.898478676024906511e-03
6.634019100000000668e-02 8.900000000000000355e+00 1.409999999999999787e+01 9.756887083369536473e-01 2.135740813996957199e-03
6.634019100000000668e-02 8.900000000000000355e+00 1.419999999999999751e+01 9.804017976023193803e-01 2.520540866573928434e-03
6.634019100000000668e-02 8.900000000000000355e+00 1.429999999999999716e+01 9.848758472213424708e-01 2.861478181172356396e-03
6.634019100000000668e-02 8.900000000000000355e+00 1.439999999999999680e+01 9.890272716657111385e-01 3.338556145344444281e-03
6.634019100000000668e-02 8.900000000000000355e+00 1.449999999999999645e+01 9.932501821149615218e-01 3.809456192988747939e-03
6.634019100000000668e-02 8.900000000000000355e+00 1.459999999999999609e+01 9.968352014894402702e-01 4.482544359178212111e-03
6.634019100000000668e-02 8.900000000000000355e+00 1.469999999999999574e+01 9.999940222872633067e-01 5.147124224370544163e-03
6.634019100000000668e-02 8.900000000000000355e+00 1.479999999999999538e+01 1.002812923863880545e+00 6.131328362586169547e-03
6.634019100000000668e-02 8.900000000000000355e+00 1.489999999999999503e+01 1.004985632596357759e+00 7.110063814906408645e-03
6.634019100000000668e-02 8.900000000000000355e+00 1.499999999999999467e+01 1.006723875164195148e+00 8.145478498947358523e-03
6.634019100000000668e-02 8.900000000000000355e+00 1.509999999999999432e+01 1.007925372100116679e+00 1.022568030265744686e-02
6.634019100000000668e-02 8.900000000000000355e+00 1.519999999999999396e+01 1.008186589006950795e+00 1.106708156102416407e-02
6.634019100000000668e-02 8.900000000000000355e+00 1.529999999999999361e+01 1.008905039211690946e+00 1.317452355258629318e-02
6.634019100000000668e-02 8.900000000000000355e+00 1.539999999999999325e+01 1.007932613855855752e+00 1.446141240334482617e-02
6.634019100000000668e-02 9.000000000000000000e+00 1.350000000000000000e+01 9.427703766350262748e-01 2.769560985944078020e-03
6.634019100000000668e-02 9.000000000000000000e+00 1.359999999999999964e+01 9.487832159075851868e-01 2.389321682564763630e-03
6.634019100000000668e-02 9.000000000000000000e+00 1.369999999999999929e+01 9.545927895815721209e-01 2.133578045441584213e-03
6.634019100000000668e-02 9.000000000000000000e+00 1.379999999999999893e+01 9.602674569403374383e-01 1.899533729023239687e-03
6.634019100000000668e-02 9.000000000000000000e+00 1.389999999999999858e+01 9.657225283836909924e-01 1.865746255667975447e-03
6.634019100000000668e-02 9.000000000000000000e+00 1.399999999999999822e+01 9.708926748331676571e-01 1.861260184115193575e-03
6.634019100000000668e-02 9.000000000000000000e+00 1.409999999999999787e+01 9.757937797360524135e-01 2.118048400158957165e-03
6.634019100000000668e-02 9.000000000000000000e+00 1.419999999999999751e+01 9.804257600845259768e-01 2.413357480049155030e-03
6.634019100000000668e-02 9.000000000000000000e+00 1.429999999999999716e+01 9.848182932174671667e-01 2.810274261570924834e-03
6.634019100000000668e-02 9.000000000000000000e+00 1.439999999999999680e+01 9.888874128223322790e-01 3.301685807197171033e-03
6.634019100000000668e-02 9.000000000000000000e+00 1.449999999999999645e+01 9.930281204024687947e-01 3.987437732635694225e-03
6.634019100000000668e-02 9.000000000000000000e+00 1.459999999999999609e+01 9.965287409151445397e-01 4.443023420234427055e-03
6.634019100000000668e-02 9.000000000000000000e+00 1.469999999999999574e+01 9.996039868146321394e-01 5.184146233408820637e-03
6.634019100000000668e-02 9.000000000000000000e+00 1.479999999999999538e+01 1.002336793404150495e+00 5.863364740971548257e-03
6.634019100000000668e-02 9.000000000000000000e+00 1.489999999999999503e+01 1.004426954483052636e+00 7.147683981750025187e-03
6.634019100000000668e-02 9.000000000000000000e+00 1.499999999999999467e+01 1.006081385208303036e+00 8.259250990634615236e-03
6.634019100000000668e-02 9.000000000000000000e+00 1.509999999999999432e+01 1.007195605930445659e+00 1.002204212519937875e-02
6.634019100000000668e-02 9.000000000000000000e+00 1.519999999999999396e+01 1.007376114191571359e+00 1.115773910043890010e-02
6.634019100000000668e-02 9.000000000000000000e+00 1.529999999999999361e+01 1.008008277050000068e+00 1.309470819029709583e-02
6.634019100000000668e-02 9.000000000000000000e+00 1.539999999999999325e+01 1.006955708920896697e+00 1.457547920847198503e-02
6.634019100000000668e-02 9.199999999999999289e+00 1.350000000000000000e+01 9.421322872075337251e-01 2.765740312697276965e-03
6.634019100000000668e-02 9.199999999999999289e+00 1.359999999999999964e+01 9.482064259090868807e-01 2.387436010890563783e-03
6.634019100000000668e-02 9.199999999999999289e+00 1.369999999999999929e+01 9.540781916883525060e-01 2.111529200390355361e-03
6.634019100000000668e-02 9.199999999999999289e+00 1.379999999999999893e+01 9.598160187917985642e-01 1.901976651333824432e-03
6.634019100000000668e-02 9.199999999999999289e+00 1.389999999999999858e+01 9.653350501032266218e-01 1.857537006916359880e-03
6.634019100000000668e-02 9.199999999999999289e+00 1.399999999999999822e+01 9.705701948379565902e-01 1.938192988412301048e-03
6.634019100000000668e-02 9.199999999999999289e+00 1.409999999999999787e+01 9.755367487791237746e-01 2.108567194060157694e-03
6.634019100000000668e-02 9.199999999999999289e+00 1.419999999999999751e+01 9.802350598710549701e-01 2.396041992833255075e-03
6.634019100000000668e-02 9.199999999999999289e+00 1.429999999999999716e+01 9.846947122275394593e-01 2.828141395056134669e-03
6.634019100000000668e-02 9.199999999999999289e+00 1.439999999999999680e+01 9.888315851754886365e-01 3.345708432494274957e-03
6.634019100000000668e-02 9.199999999999999289e+00 1.449999999999999645e+01 9.930400660499366650e-01 3.913021412286875680e-03
6.634019100000000668e-02 9.199999999999999289e+00 1.459999999999999609e+01 9.966097790399760514e-01 4.454111897701357875e-03
6.634019100000000668e-02 9.199999999999999289e+00 1.469999999999999574e+01 9.997542201368747605e-01 5.200493274730955476e-03
6.634019100000000668e-02 9.199999999999999289e+00 1.479999999999999538e+01 1.002557730049666196e+00 6.076505451527388670e-03
6.634019100000000668e-02 9.199999999999999289e+00 1.489999999999999503e+01 1.004715281682646122e+00 6.996473936909524370e-03
6.634019100000000668e-02 9.199999999999999289e+00 1.499999999999999467e+01 1.006441726924868219e+00 8.392950099110361994e-03
6.634019100000000668e-02 9.199999999999999289e+00 1.509999999999999432e+01 1.007622248599574943e+00 9.778227351262460537e-03
6.634019100000000668e-02 9.199999999999999289e+00 1.519999999999999396e+01 1.007876712792165286e+00 1.133898444736689340e-02
6.634019100000000668e-02 9.199999999999999289e+00 1.529999999999999361e+01 1.008580149454532338e+00 1.335523894070584673e-02
6.634019100000000668e-02 9.199999999999999289e+00 1.539999999999999325e+01 1.007599225753119443e+00 1.500036904570065804e-02
6.634019100000000668e-02 9.400000000000000355e+00 1.350000000000000000e+01 9.411010186001071975e-01 2.849778205149622844e-03
6.634019100000000668e-02 9.400000000000000355e+00 1.359999999999999964e+01 9.469874569365293038e-01 2.500927706677476530e-03
6.634019100000000668e-02 9.400000000000000355e+00 1.369999999999999929e+01 9.526694078487554229e-01 2.203027674156901074e-03
6.634019100000000668e-02 9.400000000000000355e+00 1.379999999999999893e+01 9.582154599641705683e-01 1.974110335354927262e-03
6.634019100000000668e-02 9.400000000000000355e+00 1.389999999999999858e+01 9.635409155820058302e-01 1.873727014644383524e-03
6.634019100000000668e-02 9.400000000000000355e+00 1.399999999999999822e+01 9.685811052645859620e-01 1.951288188898517295e-03
6.634019100000000668e-02 9.400000000000000355e+00 1.409999999999999787e+01 9.733515795503525636e-01 2.223877845323684720e-03
6.634019100000000668e-02 9.400000000000000355e+00 1.419999999999999751e+01 9.778523515977119995e-01 2.489458202033818443e-03
6.634019100000000668e-02 9.400000000000000355e+00 1.429999999999999716e+01 9.821136001101291590e-01 2.987499077097726871e-03
6.634019100000000668e-02 9.400000000000000355e+00 1.439999999999999680e+01 9.860508297799686073e-01 3.411508476696464148e-03
6.634019100000000668e-02 9.400000000000000355e+00 1.449999999999999645e+01 9.900581115881769145e-01 3.956705437815131836e-03
6.634019100000000668e-02 9.400000000000000355e+00 1.459999999999999609e+01 9.934277247600078464e-01 4.618073075488371947e-03
6.634019100000000668e-02 9.400000000000000355e+00 1.469999999999999574e+01 9.963716357946865720e-01 5.345603248110297051e-03
6.634019100000000668e-02 9.400000000000000355e+00 1.479999999999999538e+01 9.989743297706946690e-01 6.145640049945573676e-03
6.634019100000000668e-02 9.400000000000000355e+00 1.489999999999999503e+01 1.000933751268729965e+00 7.188481451016045728e-03
6.634019100000000668e-02 9.400000000000000355e+00 1.499999999999999467e+01 1.002461751889660135e+00 8.516496351696090789e-03
6.634019100000000668e-02 9.400000000000000355e+00 1.509999999999999432e+01 1.003448320996805698e+00 1.012857859253576964e-02
6.634019100000000668e-02 9.400000000000000355e+00 1.519999999999999396e+01 1.003510220652490403e+00 1.166444875786509100e-02
6.634019100000000668e-02 9.400000000000000355e+00 1.529999999999999361e+01 1.004014047886192973e+00 1.328254978121731766e-02
6.634019100000000668e-02 9.400000000000000355e+00 1.539999999999999325e+01 1.002851610567583318e+00 1.530923374545522554e-02
6.634019100000000668e-02 9.500000000000000000e+00 1.350000000000000000e+01 9.400292312173457177e-01 3.066021199961576314e-03
6.634019100000000668e-02 9.500000000000000000e+00 1.359999999999999964e+01 9.457877529089050439e-01 2.687941749040608300e-03
6.634019100000000668e-02 9.500000000000000000e+00 1.369999999999999929e+01 9.513405848153964062e-01 2.347867085410125596e-03
6.634019100000000668e-02 9.500000000000000000e+00 1.379999999999999893e+01 9.567564567042317059e-01 2.135892595674715195e-03
6.634019100000000668e-02 9.500000000000000000e+00 1.389999999999999858e+01 9.619506592762397945e-01 2.027764722347800540e-03
6.634019100000000668e-02 9.500000000000000000e+00 1.399999999999999822e+01 9.668586234924011480e-01 2.020335071998418785e-03
6.634019100000000668e-02 9.500000000000000000e+00 1.409999999999999787e+01 9.714960574090095724e-01 2.185003770622655130e-03
6.634019100000000668e-02 9.500000000000000000e+00 1.419999999999999751e+01 9.758634640340423383e-01 2.493092915694245827e-03
6.634019100000000668e-02 9.500000000000000000e+00 1.429999999999999716e+01 9.799902221851788386e-01 2.851897381847301113e-03
6.634019100000000668e-02 9.500000000000000000e+00 1.439999999999999680e+01 9.837932756794030009e-01 3.361518285636807147e-03
6.634019100000000668e-02 9.500000000000000000e+00 1.449999999999999645e+01 9.876650851113537577e-01 3.935863397971761830e-03
6.634019100000000668e-02 9.500000000000000000e+00 1.459999999999999609e+01 9.908995412496284239e-01 4.553212530373551559e-03
6.634019100000000668e-02 9.500000000000000000e+00 1.469999999999999574e+01 9.937076460425613433e-01 5.066498495993704450e-03
6.634019100000000668e-02 9.500000000000000000e+00 1.479999999999999538e+01 9.961771018936851352e-01 6.101168877805296896e-03
6.634019100000000668e-02 9.500000000000000000e+00 1.489999999999999503e+01 9.980046847149841582e-01 7.333504745599538945e-03
6.634019100000000668e-02 9.500000000000000000e+00 1.499999999999999467e+01 9.993989305471708828e-01 8.466209973311910816e-03
6.634019100000000668e-02 9.500000000000000000e+00 1.509999999999999432e+01 1.000255043758789597e+00 1.013703662276097851e-02
6.634019100000000668e-02 9.500000000000000000e+00 1.519999999999999396e+01 1.000186798979556979e+00 1.149180595829009909e-02
6.634019100000000668e-02 9.500000000000000000e+00 1.529999999999999361e+01 1.000565883775400344e+00 1.349510374422797400e-02
6.634019100000000668e-02 9.500000000000000000e+00 1.539999999999999325e+01 9.992720196563326107e-01 1.498227516874536813e-02
6.634019100000000668e-02 9.699999999999999289e+00 1.350000000000000000e+01 9.367185755042058970e-01 2.840927625691634390e-03
6.634019100000000668e-02 9.699999999999999289e+00 1.359999999999999964e+01 9.421741934219273196e-01 2.516469642000301356e-03
6.634019100000000668e-02 9.699999999999999289e+00 1.369999999999999929e+01 9.474215723127463740e-01 2.233597374194024651e-03
6.634019100000000668e-02 9.699999999999999289e+00 1.379999999999999893e+01 9.525293165179895549e-01 2.078544350929194436e-03
6.634019100000000668e-02 9.699999999999999289e+00 1.389999999999999858e+01 9.574132121485861013e-01 2.003079913705524059e-03
6.634019100000000668e-02 9.699999999999999289e+00 1.399999999999999822e+01 9.620093699113657637e-01 2.068188105950379864e-03
6.634019100000000668e-02 9.699999999999999289e+00 1.409999999999999787e+01 9.663335713089395984e-01 2.286261720923159647e-03
6.634019100000000668e-02 9.699999999999999289e+00 1.419999999999999751e+01 9.703866081803420585e-01 2.640938477468415292e-03
6.634019100000000668e-02 9.699999999999999289e+00 1.429999999999999716e+01 9.741978725171160924e-01 3.023431513577345617e-03
6.634019100000000668e-02 9.699999999999999289e+00 1.439999999999999680e+01 9.776845752639877762e-01 3.402878290626094610e-03
6.634019100000000668e-02 9.699999999999999289e+00 1.449999999999999645e+01 9.812377045355347160e-01 3.951347775199278052e-03
6.634019100000000668e-02 9.699999999999999289e+00 1.459999999999999609e+01 9.841562185545981167e-01 4.678815402656163851e-03
6.634019100000000668e-02 9.699999999999999289e+00 1.469999999999999574e+01 9.866498263101880495e-01 5.326232903434326670e-03
6.634019100000000668e-02 9.699999999999999289e+00 1.479999999999999538e+01 9.888044775253210794e-01 6.238750334430185306e-03
6.634019100000000668e-02 9.699999999999999289e+00 1.489999999999999503e+01 9.903190996392212675e-01 7.142390265011641301e-03
6.634019100000000668e-02 9.699999999999999289e+00 1.499999999999999467e+01 9.914069837749039937e-01 8.521892781851911000e-03
6.634019100000000668e-02 9.699999999999999289e+00 1.509999999999999432e+01 9.919595085434128601e-01 1.025849190693895255e-02
6.634019100000000668e-02 9.699999999999999289e+00 1.519999999999999396e+01 9.915932079054966541e-01 1.149636614504332549e-02
6.634019100000000668e-02 9.699999999999999289e+00 1.529999999999999361e+01 9.916661444094123645e-01 1.307377228206501110e-02
6.634019100000000668e-02 9.699999999999999289e+00 1.539999999999999325e+01 9.900874328065940588e-01 1.463604865493654122e-02
6.634019100000000668e-02 9.900000000000000355e+00 1.350000000000000000e+01 9.323998522115120036e-01 3.421075045698922495e-03
6.634019100000000668e-02 9.900000000000000355e+00 1.359999999999999964e+01 9.375784834032209192e-01 2.995911846821541248e-03
6.634019100000000668e-02 9.900000000000000355e+00 1.369999999999999929e+01 9.425471325937018197e-01 2.584887201332737496e-03
6.634019100000000668e-02 9.900000000000000355e+00 1.379999999999999893e+01 9.473743802151347593e-01 2.332380956938324805e-03
6.634019100000000668e-02 9.900000000000000355e+00 1.389999999999999858e+01 9.519763831553662570e-01 2.127218992335959662e-03
6.634019100000000668e-02 9.900000000000000355e+00 1.399999999999999822e+01 9.562900542403789395e-01 2.147166829526234860e-03
6.634019100000000668e-02 9.900000000000000355e+00 1.409999999999999787e+01 9.603311744969220687e-01 2.356529779606990945e-03
6.634019100000000668e-02 9.900000000000000355e+00 1.419999999999999751e+01 9.641007479987947493e-01 2.732783449672810620e-03
6.634019100000000668e-02 9.900000000000000355e+00 1.429999999999999716e+01 9.676278398589857055e-01 3.051254051284092196e-03
6.634019100000000668e-02 9.900000000000000355e+00 1.439999999999999680e+01 9.708314781493920798e-01 3.599076621840446855e-03
6.634019100000000668e-02 9.900000000000000355e+00 1.449999999999999645e+01 9.740996198023117447e-01 4.340853035375230942e-03
6.634019100000000668e-02 9.900000000000000355e+00 1.459999999999999609e+01 9.767351538029167557e-01 5.009242124849432563e-03
6.634019100000000668e-02 9.900000000000000355e+00 1.469999999999999574e+01 9.789478888763368802e-01 5.662164646054922146e-03
6.634019100000000668e-02 9.900000000000000355e+00 1.479999999999999538e+01 9.808220091954562569e-01 6.385468175269613973e-03
6.634019100000000668e-02 9.900000000000000355e+00 1.489999999999999503e+01 9.820644920550820611e-01 7.688707889546690134e-03
6.634019100000000668e-02 9.900000000000000355e+00 1.499999999999999467e+01 9.828791743182385687e-01 8.881547288531913692e-03
6.634019100000000668e-02 9.900000000000000355e+00 1.509999999999999432e+01 9.831632861055833450e-01 1.051351513983330398e-02
6.634019100000000668e-02 9.900000000000000355e+00 1.519999999999999396e+01 9.825388024288562727e-01 1.186025278141204786e-02
6.634019100000000668e-02 9.900000000000000355e+00 1.529999999999999361e+01 9.823572293768737529e-01 1.405761162528489268e-02
6.634019100000000668e-02 9.900000000000000355e+00 1.539999999999999325e+01 9.805239877917775182e-01 1.503345218671767181e-02
6.634019100000000668e-02 1.000000000000000000e+01 1.350000000000000000e+01 9.303714344600122477e-01 3.447836417250337276e-03
6.634019100000000668e-02 1.000000000000000000e+01 1.359999999999999964e+01 9.355969477696358672e-01 3.013004546858821797e-03
6.634019100000000668e-02 1.000000000000000000e+01 1.369999999999999929e+01 9.406137827328764356e-01 2.669346164337765576e-03
6.634019100000000668e-02 1.000000000000000000e+01 1.379999999999999893e+01 9.454897738719959532e-01 2.360734666351216576e-03
6.634019100000000668e-02 1.000000000000000000e+01 1.389999999999999858e+01 9.501417894027182065e-01 2.186594183728335535e-03
6.634019100000000668e-02 1.000000000000000000e+01 1.399999999999999822e+01 9.545064915527313731e-01 2.192719545950825872e-03
6.634019100000000668e-02 1.000000000000000000e+01 1.409999999999999787e+01 9.585996055078895850e-01 2.357220109463673517e-03
6.634019100000000668e-02 1.000000000000000000e+01 1.419999999999999751e+01 9.624222075881738725e-01 2.716604004009986421e-03
6.634019100000000668e-02 1.000000000000000000e+01 1.429999999999999716e+01 9.660034332712610361e-01 3.093192213909733059e-03
6.634019100000000668e-02 1.000000000000000000e+01 1.439999999999999680e+01 9.692623491811681591e-01 3.728454667223326472e-03
6.634019100000000668e-02 1.000000000000000000e+01 1.449999999999999645e+01 9.725847466561851062e-01 4.231237999411905336e-03
6.634019100000000668e-02 1.000000000000000000e+01 1.459999999999999609e+01 9.752776719166426078e-01 5.071929058536653150e-03
6.634019100000000668e-02 1.000000000000000000e+01 1.469999999999999574e+01 9.775482437633734589e-01 5.772135575412391632e-03
6.634019100000000668e-02 1.000000000000000000e+01 1.479999999999999538e+01 9.794800735510289513e-01 6.400647474042359814e-03
6.634019100000000668e-02 1.000000000000000000e+01 1.489999999999999503e+01 9.807819620354135681e-01 7.709648103436843661e-03
6.634019100000000668e-02 1.000000000000000000e+01 1.499999999999999467e+01 9.816552063657025817e-01 8.739182741057380244e-03
6.634019100000000668e-02 1.000000000000000000e+01 1.509999999999999432e+01 9.820005191718425008e-01 1.043461689405926658e-02
6.634019100000000668e-02 1.000000000000000000e+01 1.519999999999999396e+01 9.814383668660547899e-01 1.182276639756310935e-02
6.634019100000000668e-02 1.000000000000000000e+01 1.529999999999999361e+01 9.813069610194337100e-01 1.321371008664719640e-02
6.634019100000000668e-02 1.000000000000000000e+01 1.539999999999999325e+01 9.795522941695955499e-01 1.531848849261089815e-02
6.634019100000000668e-02 1.009999999999999964e+01 1.350000000000000000e+01 9.266827211856847324e-01 3.603476635885977976e-03
6.634019100000000668e-02 1.009999999999999964e+01 1.359999999999999964e+01 9.319609718215273730e-01 3.157674829334948877e-03
6.634019100000000668e-02 1.009999999999999964e+01 1.369999999999999929e+01 9.370322408511367884e-01 2.818715369936457184e-03
6.634019100000000668e-02 1.009999999999999964e+01 1.379999999999999893e+01 9.419639952562701701e-01 2.516548740463512516e-03
6.634019100000000668e-02 1.009999999999999964e+01 1.389999999999999858e+01 9.466734496241863139e-01 2.374388480922964926e-03
6.634019100000000668e-02 1.009999999999999964e+01 1.399999999999999822e+01 9.510973152193404889e-01 2.383243656552463171e-03
6.634019100000000668e-02 1.009999999999999964e+01 1.409999999999999787e+01 9.552512736632983170e-01 2.552677351619383507e-03
6.634019100000000668e-02 1.009999999999999964e+01 1.419999999999999751e+01 9.591364034429558094e-01 2.938050753550286616e-03
