# Redshift log10(MStarSat_Threshold)[msun] <norm>[dex] norm+ norm- norm++ norm-- norm+++ norm--- <slope> slope+ slope- slope++ slope-- slope+++ slope--- <scatter>[ln] scatter+ scatter- scatter++ scatter-- scatter+++ scatter---
6.634019100000000668e-02 1.009999999999999432e+01 2.680001135425729153e+00 2.681056297748808159e+00 2.678846029611241075e+00 2.682236957371414210e+00 2.677805363874870892e+00 2.683572689098178810e+00 2.676713500493432818e+00 3.521133639714502106e-01 3.547555874360985295e-01 3.492518372474946453e-01 3.570443743673250014e-01 3.462918616860383159e-01 3.595617527206836361e-01 3.415956724683881229e-01 1.042695456286365507e-01 1.073421733018095486e-01 1.011771777249022425e-01 1.108248986373929768e-01 9.794809705004051126e-02 1.134895579044280373e-01 9.473392863917740048e-02
6.634019100000000668e-02 1.019999999999999396e+01 2.679151818087345482e+00 2.680262127288668417e+00 2.678024647447453166e+00 2.681353087785304901e+00 2.676885929833421773e+00 2.682584255339102608e+00 2.675672041718387462e+00 3.523027766093855817e-01 3.552083750958997532e-01 3.494206997344836974e-01 3.578506269576033350e-01 3.468367874740966306e-01 3.601130508170735101e-01 3.446948371873910788e-01 1.071291705021873153e-01 1.112592710939265400e-01 1.040763600388084631e-01 1.150867732443967700e-01 1.009167837394220058e-01 1.181557511520269221e-01 9.557029923949252048e-02
6.634019100000000668e-02 1.029999999999999361e+01 2.678464980459047684e+00 2.679682415149607255e+00 2.677237075708442937e+00 2.680781858863907630e+00 2.676068460770369306e+00 2.681776759399361332e+00 2.674791038137260824e+00 3.525622778832093740e-01 3.553284949760889821e-01 3.492914264114600487e-01 3.580171656471720087e-01 3.463484188659700647e-01 3.611259179286119836e-01 3.435268298880836957e-01 1.074807698444033288e-01 1.107958414221873189e-01 1.041075616305893736e-01 1.141356504434271474e-01 1.014949091291355715e-01 1.171701736913439429e-01 9.763745799510650802e-02
6.634019100000000668e-02 1.039999999999999325e+01 2.675472800516849325e+00 2.676639971578267385e+00 2.674272687604913656e+00 2.677793884768832289e+00 2.672975793980387316e+00 2.679223859054550960e+00 2.671597296960771750e+00 3.508548412435930075e-01 3.541215701119324044e-01 3.475480873016557615e-01 3.573642829388457565e-01 3.445358886155517886e-01 3.600797444157334826e-01 3.414883448237059360e-01 1.099205020021090939e-01 1.134796554215680014e-01 1.064297627967082799e-01 1.167506196062370050e-01 1.018432412482243171e-01 1.200630818417227907e-01 9.820601276022954129e-02
6.634019100000000668e-02 1.049999999999999289e+01 2.670239514667802627e+00 2.671720666436228520e+00 2.668895999018733534e+00 2.673246172635758366e+00 2.667465165688692963e+00 2.674175142338440558e+00 2.665885832175040271e+00 3.526718572314480049e-01 3.564929515041754815e-01 3.491699101730384447e-01 3.602249078815291661e-01 3.458775161537782084e-01 3.631480257940019607e-01 3.428235621475156369e-01 1.092140534026395937e-01 1.141692258656048925e-01 1.046935717318750736e-01 1.190810338368668148e-01 9.983558777018818053e-02 1.226458385225057401e-01 8.925595998687130272e-02
6.634019100000000668e-02 1.059999999999999254e+01 2.665864972144090572e+00 2.667376612554742898e+00 2.664238210930303996e+00 2.668977801004328576e+00 2.662751989738640912e+00 2.670166687664578209e+00 2.661841913952797789e+00 3.565329286596652381e-01 3.604717171644987173e-01 3.525007090480666294e-01 3.642125474476232694e-01 3.488838096148714207e-01 3.680451082509690885e-01 3.461604797149744339e-01 1.098777050011702366e-01 1.152003079593052481e-01 1.004685096893677965e-01 1.210454426901232394e-01 8.368719365838421520e-02 1.276187835164153961e-01 7.601195861457864245e-02
6.634019100000000668e-02 1.069999999999999218e+01 2.660278754437386262e+00 2.662313690715919279e+00 2.658486913467133839e+00 2.664158279104893445e+00 2.656624649273177763e+00 2.666001282053213739e+00 2.655087966905712360e+00 3.613655291274919801e-01 3.662988695677820705e-01 3.567762671196991198e-01 3.707634486708312194e-01 3.519104633110493596e-01 3.749602561894130881e-01 3.474537560529675773e-01 1.230070643901026439e-01 1.301653262973499758e-01 1.153272626063462786e-01 1.363738218912504963e-01 9.694410756726494494e-02 1.435556277013618764e-01 8.237671175534225232e-02
6.634019100000000668e-02 1.079999999999999183e+01 2.656387826958799270e+00 2.658452524555675378e+00 2.654295822798902194e+00 2.660353817988045044e+00 2.652308561325085190e+00 2.662467091160018562e+00 2.649849957117987209e+00 3.656370309512502192e-01 3.704014745693456900e-01 3.608983534803523185e-01 3.752752800094477648e-01 3.565707697374593255e-01 3.796281963930425718e-01 3.510182301836424212e-01 1.134789683865487231e-01 1.215482892176753260e-01 1.008730427187265605e-01 1.301572324192340757e-01 8.054789482349773710e-02 1.361298635325135786e-01 7.637824367654337532e-02
6.634019100000000668e-02 1.089999999999999147e+01 2.651405957329350471e+00 2.653937451466220843e+00 2.648874956052481799e+00 2.656211438136606429e+00 2.646391019948457934e+00 2.657735265706042682e+00 2.644246522599150051e+00 3.723090229625969361e-01 3.786063305427926906e-01 3.663407163102494479e-01 3.847718380747536249e-01 3.605606788206262570e-01 3.896322748935438507e-01 3.551582386968643035e-01 9.281472431906773179e-02 1.164389543847907937e-01 7.675877985917410606e-02 1.328648027402602461e-01 5.465922346424371275e-02 1.413249080327847185e-01 5.242991632144208131e-02
6.634019100000000668e-02 1.099999999999999112e+01 2.644565846045658919e+00 2.646943778588771057e+00 2.641627450273093203e+00 2.649149424119265461e+00 2.638932942199490039e+00 2.651348793492013911e+00 2.635299071508436786e+00 3.751929468419890057e-01 3.808731008548046360e-01 3.695117951277853696e-01 3.878330075925676135e-01 3.635123776937295159e-01 3.974995071486892018e-01 3.564680600809717603e-01 9.636842310263465938e-02 1.195828628002446464e-01 6.758492019123538141e-02 1.391116541492366521e-01 6.163903977200301670e-02 1.480561516206235773e-01 5.903035371496787725e-02
