# Redshift log10(MStarSat_Threshold)[msun] <norm>[dex] norm+ norm- norm++ norm-- norm+++ norm--- <slope> slope+ slope- slope++ slope-- slope+++ slope--- <scatter>[ln] scatter+ scatter- scatter++ scatter-- scatter+++ scatter---
0.000000000000000000e+00 1.069999999999999218e+01 2.687991222459108265e+00 2.689085955916639570e+00 2.686921298000605418e+00 2.689977133788046260e+00 2.685776692719203496e+00 2.690829371017283478e+00 2.684802101432526733e+00 3.629006712046900507e-01 3.645795020312490031e-01 3.613098713974583487e-01 3.660553006050180080e-01 3.598302925729807700e-01 3.674581361118123835e-01 3.581439111744705861e-01 1.002045891625448631e-01 1.034986546950359687e-01 9.634477624945612939e-02 1.078617780966372036e-01 8.742686117772929810e-02 1.106113439583474300e-01 7.760471696667099739e-02
0.000000000000000000e+00 1.079999999999999183e+01 2.684597698226234286e+00 2.685855575110427385e+00 2.683377788958312138e+00 2.686942879492402181e+00 2.682160576857850920e+00 2.688148771164735606e+00 2.680841572804966599e+00 3.637659629419009999e-01 3.654618236015964583e-01 3.618493473159553053e-01 3.670952179419600392e-01 3.602039712437019592e-01 3.686017408978266019e-01 3.584940387792472927e-01 9.978341895976941545e-02 1.036565295566555106e-01 9.459509219509866507e-02 1.079194366952440781e-01 7.424303563566098108e-02 1.112363943438851033e-01 6.529525905014713083e-02
0.000000000000000000e+00 1.089999999999999147e+01 2.680445768563989084e+00 2.681861177226629422e+00 2.679120199448906003e+00 2.683185580741204834e+00 2.677810800028086913e+00 2.684513150976609808e+00 2.676323768229698086e+00 3.664628822088644711e-01 3.683587326723621880e-01 3.644731236884805603e-01 3.702133526843608968e-01 3.623968762653285158e-01 3.720420517081686751e-01 3.607068957960773425e-01 1.020633221067128310e-01 1.061194448324456197e-01 9.680800598255795419e-02 1.101981338194508164e-01 8.152827889790532911e-02 1.130431111123951227e-01 7.381103980764104622e-02
0.000000000000000000e+00 1.099999999999999112e+01 2.675606904420690935e+00 2.677663819203326412e+00 2.673883711640217431e+00 2.680055071909959175e+00 2.671976243337557566e+00 2.681437979467889310e+00 2.670898488953184824e+00 3.708784609926352172e-01 3.731616889354766320e-01 3.686842507021159121e-01 3.753280786411909986e-01 3.666199859746949730e-01 3.776990154718368742e-01 3.653665221114588135e-01 9.743674227986204306e-02 1.072816959950333993e-01 6.534945742012530923e-02 1.147478881241184162e-01 5.610579681750220427e-02 1.182344304406173774e-01 5.358311321747263878e-02
5.000000000000000000e-01 9.499999999999996447e+00 2.698860173261714568e+00 2.699480759567382204e+00 2.698191961259774896e+00 2.700205765613371778e+00 2.697536095304771564e+00 2.701006567476680331e+00 2.696798367304630073e+00 3.578734279240103344e-01 3.592561107850782420e-01 3.564648739611395167e-01 3.606996058550983042e-01 3.551105828109692442e-01 3.622028963191495365e-01 3.539382487547926837e-01 1.052415361894853685e-01 1.072304654126992746e-01 1.033041725746264849e-01 1.093362072873705210e-01 1.014382095873172102e-01 1.109543117368321230e-01 9.960933997316494259e-02
5.000000000000000000e-01 9.699999999999995737e+00 2.696315144629831906e+00 2.697001799336531391e+00 2.695673483874801324e+00 2.697678603104627815e+00 2.694984734732158493e+00 2.698346735867083623e+00 2.694407043697884419e+00 3.589435431775911400e-01 3.603831210286650433e-01 3.574735741302321745e-01 3.618310936649350995e-01 3.560149009212598692e-01 3.633115333125245816e-01 3.541337816813749928e-01 1.066959446433959763e-01 1.086147620202000535e-01 1.046620800093034376e-01 1.105603685388096835e-01 1.024701832354483200e-01 1.119502168265897463e-01 1.005975799844068819e-01
5.000000000000000000e-01 9.899999999999995026e+00 2.693298743286105523e+00 2.694050458628416411e+00 2.692536567837725325e+00 2.694734753929685755e+00 2.691782900811553692e+00 2.695329341198992701e+00 2.691157646782838420e+00 3.607054438589196721e-01 3.622721716334423303e-01 3.591316894434481988e-01 3.638023642527438151e-01 3.577193251458211098e-01 3.653636453854755550e-01 3.561285183041537072e-01 1.098579829657108098e-01 1.123556405843416511e-01 1.076241020065186738e-01 1.144231021296223672e-01 1.054939847687947352e-01 1.166330129729208770e-01 1.036660280915270710e-01
5.000000000000000000e-01 9.999999999999994671e+00 2.691983890785992983e+00 2.692747446404175626e+00 2.691161429831538054e+00 2.693519042526605567e+00 2.690486978332219170e+00 2.694446694057434755e+00 2.689762085142189729e+00 3.613505712449549545e-01 3.629469470201379666e-01 3.598298725147074939e-01 3.645144864010465002e-01 3.583473740775563465e-01 3.657289218688715704e-01 3.567411810714025688e-01 1.099922165027673454e-01 1.121135140222924431e-01 1.076030019499796681e-01 1.140043462800373331e-01 1.051799372613766576e-01 1.151543741427698136e-01 1.032432277790603647e-01
5.000000000000000000e-01 1.009999999999999432e+01 2.690811559096690786e+00 2.691628264701301010e+00 2.690089827945119971e+00 2.692465336603794945e+00 2.689279912696123098e+00 2.693110918093979400e+00 2.688657948274362219e+00 3.623577627844376536e-01 3.639577021805552870e-01 3.607489112055213276e-01 3.655582144903982145e-01 3.590367527683290816e-01 3.667647147737845281e-01 3.572966192499389404e-01 1.115011511368866615e-01 1.137971728962667434e-01 1.090389393612014313e-01 1.157450918188513977e-01 1.071381026847546963e-01 1.170593468272677767e-01 1.052488578353765331e-01
5.000000000000000000e-01 1.019999999999999396e+01 2.689258992337968390e+00 2.690089635537826762e+00 2.688418957632752182e+00 2.690886324087358172e+00 2.687666313356441350e+00 2.691601186400419898e+00 2.686940995116287034e+00 3.637338030342818218e-01 3.654172535624470308e-01 3.621047388823951385e-01 3.669589152427429335e-01 3.603594309701407816e-01 3.690725787447889927e-01 3.581471367440057785e-01 1.124832896231650059e-01 1.146583497482734637e-01 1.098352703783272710e-01 1.169349229909491944e-01 1.075474473521686597e-01 1.197104738554580217e-01 1.058480060911807241e-01
