# log10(M200c)[Msun] log10(<sigmaDM>)[km/s] log10(sigmaDM)+ log10(sigmaDM)- log10(sigmaDM)++ log10(sigmaDM)-- log10(sigmaDM)+++ log10(sigmaDM)--- <slope> slope+ slope- slope++ slope-- slope+++ slope--- <scatter>[ln] scatter+ scatter- scatter++ scatter-- scatter+++ scatter---
3.162277660168379297e+13 3.306420188068626089e+02 3.304895251874607993e+02 3.308003624913656608e+02 3.303475082176225897e+02 3.309565805312079192e+02 3.302185081806453013e+02 3.310672651710579544e+02 3.290767985193866485e-01 3.284735177401885142e-01 3.297750879898222465e-01 3.278333093290538014e-01 3.304051231219199969e-01 3.272054649610107724e-01 3.310869988916074202e-01 4.314301296308808986e-02 4.271349165308190032e-02 4.354935249007873405e-02 4.232913341821675085e-02 4.397521023407981178e-02 4.205823482617317144e-02 4.424296032501572051e-02
3.981071705534969531e+13 3.567967064357983986e+02 3.566044839104396829e+02 3.569971529371563861e+02 3.563937406585707777e+02 3.572182347759147660e+02 3.561996085350360772e+02 3.573429154294337877e+02 3.297871934921171588e-01 3.291728576452372934e-01 3.304911907336868238e-01 3.283974874685904322e-01 3.310513380620027091e-01 3.273740804596241283e-01 3.316232924864986886e-01 4.293885635765701952e-02 4.254870408584555258e-02 4.332849541633776447e-02 4.219979504601511361e-02 4.373871526455109376e-02 4.171923467290764020e-02 4.429419959032205450e-02
5.011872336272714844e+13 3.850592553784443908e+02 3.848070484132005049e+02 3.853223010571043687e+02 3.845632871260412458e+02 3.855703741317362869e+02 3.842336350250306509e+02 3.857929165386343584e+02 3.303239400752342458e-01 3.296778738621064520e-01 3.310597647941245780e-01 3.291381778952444104e-01 3.316586214718907355e-01 3.284442897279316043e-01 3.323667587764667641e-01 4.271924088034739775e-02 4.232235315656804331e-02 4.314152015638629545e-02 4.189150507895011283e-02 4.357430070011059781e-02 4.153466676652757539e-02 4.403282312530585468e-02
6.309573444801917188e+13 4.156526974659549296e+02 4.153729837877497744e+02 4.159770969586463707e+02 4.150823322627144876e+02 4.163250441053514237e+02 4.148454234328676762e+02 4.165750551248671059e+02 3.308952683543456286e-01 3.302863832820759904e-01 3.316347332635569134e-01 3.294772546859506268e-01 3.324202450049203450e-01 3.288702172098064702e-01 3.331783486679017470e-01 4.251655743166517926e-02 4.210624622661303385e-02 4.295318104176758245e-02 4.166445336007525840e-02 4.340880035192978131e-02 4.133087028618928627e-02 4.366416294019633687e-02
7.943282347242789062e+13 4.487285863323259036e+02 4.483349558816417471e+02 4.491022981452522913e+02 4.479015426286563297e+02 4.494972925797622452e+02 4.476094243002031590e+02 4.499431993430829948e+02 3.314197634567939144e-01 3.306868722865423105e-01 3.321843764990801695e-01 3.298418909638082819e-01 3.329054391441788052e-01 3.293812752937348431e-01 3.336957887039526116e-01 4.230224814361689678e-02 4.178753893984843426e-02 4.277901159508516737e-02 4.137377344015151504e-02 4.320205176013112297e-02 4.083223020097950795e-02 4.357255885750808272e-02
9.999999999999959375e+13 4.844408446439430804e+02 4.839219140855058754e+02 4.849432084537023684e+02 4.834281485645310568e+02 4.855220692098313862e+02 4.830452928204411478e+02 4.859703890455915030e+02 3.318000884759824132e-01 3.309169347823480156e-01 3.326198645160418077e-01 3.300793831830355907e-01 3.334352293354000962e-01 3.292724016249714558e-01 3.342168810555789515e-01 4.201281523463116369e-02 4.145115565008475333e-02 4.255080225342955380e-02 4.092446633071097212e-02 4.309517465510578904e-02 4.058593917240539001e-02 4.361915068313371863e-02
1.258925411794161094e+14 5.230404731136464989e+02 5.224007912052998108e+02 5.236831896520255896e+02 5.217275011377031433e+02 5.243089952189018277e+02 5.212152395609922451e+02 5.250072252220380733e+02 3.321885068351836390e-01 3.311464341439330217e-01 3.331196569845153999e-01 3.301603973169360273e-01 3.342238458817529678e-01 3.292968764585714192e-01 3.351530508483131499e-01 4.171758415986104307e-02 4.108980562605264730e-02 4.229977662966040441e-02 4.038204206284548570e-02 4.281519111642585751e-02 3.989897704306293036e-02 4.325382328306340979e-02
1.584893192461104375e+14 5.647824878942299165e+02 5.639215364121778293e+02 5.656396889477819059e+02 5.632041678218781726e+02 5.665594001275021583e+02 5.618750082766525793e+02 5.675934341579430793e+02 3.325558342183510541e-01 3.313208470175364462e-01 3.337988887225948886e-01 3.301432367001700952e-01 3.350347994415209252e-01 3.287063468811226574e-01 3.363337487088206013e-01 4.140846903286128644e-02 4.072441721311008400e-02 4.204363672259562451e-02 4.014666062445177569e-02 4.271361485921450901e-02 3.971247033517627534e-02 4.333325983408845700e-02
1.995262314968866562e+14 6.099318548233912907e+02 6.088719768938863126e+02 6.110929317356138881e+02 6.077970945927758066e+02 6.122741341004276592e+02 6.065294694823844566e+02 6.131550105002315831e+02 3.329706808028766174e-01 3.316001115125237764e-01 3.343348134658074011e-01 3.302620552136404375e-01 3.358373387854646230e-01 3.288975325544673534e-01 3.371490475778505802e-01 4.104788515753639289e-02 4.027903953081706651e-02 4.179053994851571890e-02 3.954295383796593150e-02 4.268768915998468610e-02 3.873590804029573842e-02 4.323873083207979695e-02
2.511886431509561562e+14 6.587508300315831775e+02 6.572540731721774137e+02 6.601974359092426994e+02 6.558013592777668919e+02 6.616627217843366680e+02 6.545314754485247022e+02 6.630567153894082821e+02 3.333753453927488786e-01 3.315338933714068737e-01 3.350131628543314699e-01 3.299129083787841199e-01 3.365378293426131151e-01 3.286094853019049244e-01 3.381821176107238092e-01 4.080869572957392111e-02 3.992859596839111458e-02 4.171443379831658860e-02 3.922504893932689946e-02 4.253450715972503099e-02 3.826514975712977384e-02 4.328157109528443097e-02
