# log10(M200c)[Msun] log10(<sigmaDM>)[km/s] log10(sigmaDM)+ log10(sigmaDM)- log10(sigmaDM)++ log10(sigmaDM)-- log10(sigmaDM)+++ log10(sigmaDM)--- <slope> slope+ slope- slope++ slope-- slope+++ slope--- <scatter>[ln] scatter+ scatter- scatter++ scatter-- scatter+++ scatter---
3.162277660168379297e+13 3.754826487160141255e+02 3.753026665711731766e+02 3.756615390711569944e+02 3.751226351547508671e+02 3.758064017797048564e+02 3.749050777008283148e+02 3.759514877237191968e+02 3.063515813857773384e-01 3.056199046792614227e-01 3.070314982457245101e-01 3.049288204464471463e-01 3.076592065721154845e-01 3.043050093207325668e-01 3.082948348155762908e-01 5.248243028403705435e-02 5.209327784706200420e-02 5.287921833123220700e-02 5.179257862277614893e-02 5.333811645076873970e-02 5.142513942419502104e-02 5.390058421473947758e-02
3.981071705534969531e+13 4.033851677617817018e+02 4.031641959471440373e+02 4.036088062081715293e+02 4.029501122697744790e+02 4.038416229813003042e+02 4.027919638646336011e+02 4.040596315564009728e+02 3.085079736860122379e-01 3.078413100489620358e-01 3.091480940790941601e-01 3.072309719161903097e-01 3.097859906838746902e-01 3.068042868285760227e-01 3.104329406980540496e-01 5.149873729126713123e-02 5.111739617599562330e-02 5.190158238429419535e-02 5.076783701203860938e-02 5.232303609964109037e-02 5.043697870564175373e-02 5.272430624258812176e-02
5.011872336272714844e+13 4.337655602207692027e+02 4.335060226724185100e+02 4.340291691850786719e+02 4.332157710099998553e+02 4.343152397125861626e+02 4.327781567846728308e+02 4.346001867685724278e+02 3.110237910552732243e-01 3.104342053910530419e-01 3.117318988083576659e-01 3.097596371550872529e-01 3.123630782547919815e-01 3.090483919483935082e-01 3.129030165999253654e-01 5.050810954563417221e-02 5.013695634944372037e-02 5.093489377684359831e-02 4.973766874890729606e-02 5.133174128857396351e-02 4.927714981899149888e-02 5.173760878918253620e-02
6.309573444801917188e+13 4.668892385052548093e+02 4.665209687839592334e+02 4.672205671738381625e+02 4.662335350637382021e+02 4.675340478126586845e+02 4.659782603803755592e+02 4.679949983560381952e+02 3.139284653562453009e-01 3.131919772694397031e-01 3.145839241025593092e-01 3.126536788586378735e-01 3.152797751366279710e-01 3.121412752671428592e-01 3.159855805713818189e-01 4.948997072071140146e-02 4.910768759582928578e-02 4.990884886659451014e-02 4.876210777723072320e-02 5.034732339384734995e-02 4.836585417523939917e-02 5.075045848235763823e-02
7.943282347242789062e+13 5.030811038418527232e+02 5.026391369975275438e+02 5.034855323652292896e+02 5.022167525315761054e+02 5.038751606528090861e+02 5.018241778583153518e+02 5.043471412825017524e+02 3.171411428730651072e-01 3.164116473319348866e-01 3.178106384698350939e-01 3.157215433374683244e-01 3.184441284083737722e-01 3.150047450532441617e-01 3.193276624709666667e-01 4.860262562777075551e-02 4.815659370437518072e-02 4.902693849629099349e-02 4.770793840499226723e-02 4.937527913926217232e-02 4.736696097052567334e-02 4.972422639390355198e-02
9.999999999999959375e+13 5.425956068988198240e+02 5.420825673509855278e+02 5.431203553813661529e+02 5.415905009337154752e+02 5.436235591416063926e+02 5.411647890428647543e+02 5.442480639133397062e+02 3.206459269657265243e-01 3.198456136360351421e-01 3.214132913022864080e-01 3.191066333171953540e-01 3.221935958636432673e-01 3.183743317045505394e-01 3.229695750357445272e-01 4.774298528196335711e-02 4.726124255087300885e-02 4.822370300124767528e-02 4.691925138922050514e-02 4.871856348573005979e-02 4.642935017585300000e-02 4.943234447195374998e-02
1.258925411794161094e+14 5.858616541034505190e+02 5.851860886885258424e+02 5.865267081214221889e+02 5.846218939961240721e+02 5.872549145860738236e+02 5.839988092641078765e+02 5.880841150639979560e+02 3.243368995126852394e-01 3.234834355222202529e-01 3.252393372733106691e-01 3.226302270303498254e-01 3.261209794269487316e-01 3.217169876018945440e-01 3.268507910667708405e-01 4.704999710304193228e-02 4.656007105406977098e-02 4.759027101282251038e-02 4.597708375728751240e-02 4.816307417646007588e-02 4.550187040153083617e-02 4.860032025514688520e-02
1.584893192461104375e+14 6.330826329266648145e+02 6.323163366099729501e+02 6.338833418666395119e+02 6.315437218346393138e+02 6.346572546894630023e+02 6.309318477033660884e+02 6.354427279101712429e+02 3.280378526032627362e-01 3.270755156378020723e-01 3.290366869135435413e-01 3.263007298309625326e-01 3.299313946504099926e-01 3.254441633412110124e-01 3.309652286417291145e-01 4.648385719697109564e-02 4.592377808713239695e-02 4.709077709785019356e-02 4.533625554746521097e-02 4.775523067242199576e-02 4.492654571342257624e-02 4.819128996998474357e-02
1.995262314968866562e+14 6.845579530591587627e+02 6.835653268979932591e+02 6.856274009916753585e+02 6.825863021671090110e+02 6.867550506496945673e+02 6.813126556608766577e+02 6.877483036109938439e+02 3.315407210510546987e-01 3.303671553644447201e-01 3.327915232780089827e-01 3.293237299899258175e-01 3.341579627795956964e-01 3.278321497083876990e-01 3.350347650095862884e-01 4.611951891899793154e-02 4.541934628930906215e-02 4.682994403312585457e-02 4.478864712097568174e-02 4.749774310459035226e-02 4.418030355742078030e-02 4.803040252752546063e-02
2.511886431509561562e+14 7.405030456650856650e+02 7.392556035450638774e+02 7.418789746560281628e+02 7.378104490158093540e+02 7.431998124283237530e+02 7.366090337855515600e+02 7.446101498647251447e+02 3.344711935677479042e-01 3.331503496805224840e-01 3.359257183591594087e-01 3.318770009265348819e-01 3.372413000595682608e-01 3.304637297707905264e-01 3.388979458378827969e-01 4.596414015572235917e-02 4.505545609206842994e-02 4.677796697415202709e-02 4.414837813725199650e-02 4.766092071041252293e-02 4.315433509686181224e-02 4.848598370487604281e-02
