# Redshift log10(MStarSat_Threshold)[msun] log10(M200c)[msun] mean_velbias stddev_velbias
0.000000000000000000e+00 9.699999999999999289e+00 1.469999999999999574e+01 1.032271722198964792e+00 2.425362368437766324e-03
0.000000000000000000e+00 9.699999999999999289e+00 1.479999999999999538e+01 1.034095568504249441e+00 2.548967489839269046e-03
0.000000000000000000e+00 9.699999999999999289e+00 1.489999999999999503e+01 1.036012526348123242e+00 2.787943642025606482e-03
0.000000000000000000e+00 9.699999999999999289e+00 1.499999999999999467e+01 1.038000201848990667e+00 2.916405692793186052e-03
0.000000000000000000e+00 9.699999999999999289e+00 1.509999999999999432e+01 1.039953141119193791e+00 3.284556551894031451e-03
0.000000000000000000e+00 9.699999999999999289e+00 1.519999999999999396e+01 1.042216179462929881e+00 3.710445492532086012e-03
0.000000000000000000e+00 9.699999999999999289e+00 1.529999999999999361e+01 1.044706702700534562e+00 4.232169122219009254e-03
0.000000000000000000e+00 9.699999999999999289e+00 1.539999999999999325e+01 1.047048533022338468e+00 4.787473695081305436e-03
0.000000000000000000e+00 9.699999999999999289e+00 1.549999999999999289e+01 1.050261200691605001e+00 5.400943867657572589e-03
0.000000000000000000e+00 9.699999999999999289e+00 1.559999999999999254e+01 1.052709036018676825e+00 6.445442383586646833e-03
0.000000000000000000e+00 9.699999999999999289e+00 1.569999999999999218e+01 1.055289865825948192e+00 7.614611341413678007e-03
0.000000000000000000e+00 9.699999999999999289e+00 1.579999999999999183e+01 1.057774370771760397e+00 8.829908667262693911e-03
0.000000000000000000e+00 9.900000000000000355e+00 1.350000000000000000e+01 9.658140662940359888e-01 2.246543020989971197e-03
0.000000000000000000e+00 9.900000000000000355e+00 1.359999999999999964e+01 9.737486986819419155e-01 2.077335257678355248e-03
0.000000000000000000e+00 9.900000000000000355e+00 1.369999999999999929e+01 9.813478488933404797e-01 1.929889999455357838e-03
0.000000000000000000e+00 9.900000000000000355e+00 1.379999999999999893e+01 9.884933704519229813e-01 1.812348193016212472e-03
0.000000000000000000e+00 9.900000000000000355e+00 1.389999999999999858e+01 9.952551763437300636e-01 1.700083355246938223e-03
0.000000000000000000e+00 9.900000000000000355e+00 1.399999999999999822e+01 1.001460988488027448e+00 1.593492530559772070e-03
0.000000000000000000e+00 9.900000000000000355e+00 1.409999999999999787e+01 1.007172425964929507e+00 1.573159321427483560e-03
0.000000000000000000e+00 9.900000000000000355e+00 1.419999999999999751e+01 1.012270817802212841e+00 1.636498217363167515e-03
0.000000000000000000e+00 9.900000000000000355e+00 1.429999999999999716e+01 1.016886482098768640e+00 1.706483778512203880e-03
0.000000000000000000e+00 9.900000000000000355e+00 1.439999999999999680e+01 1.020939832305759909e+00 1.822992755528280622e-03
0.000000000000000000e+00 9.900000000000000355e+00 1.449999999999999645e+01 1.024398275640539202e+00 2.017542728326490904e-03
0.000000000000000000e+00 9.900000000000000355e+00 1.459999999999999609e+01 1.027295172670587675e+00 2.197737294128954220e-03
0.000000000000000000e+00 9.900000000000000355e+00 1.469999999999999574e+01 1.029794771768895334e+00 2.396723597472716176e-03
0.000000000000000000e+00 9.900000000000000355e+00 1.479999999999999538e+01 1.031989110893572814e+00 2.573595422288466918e-03
0.000000000000000000e+00 9.900000000000000355e+00 1.489999999999999503e+01 1.034277759992693557e+00 2.820541289682638748e-03
0.000000000000000000e+00 9.900000000000000355e+00 1.499999999999999467e+01 1.036638905830060242e+00 3.075550365670662832e-03
0.000000000000000000e+00 9.900000000000000355e+00 1.509999999999999432e+01 1.038966628557751903e+00 3.449189144315984151e-03
0.000000000000000000e+00 9.900000000000000355e+00 1.519999999999999396e+01 1.041605820267807792e+00 3.875908217420745861e-03
0.000000000000000000e+00 9.900000000000000355e+00 1.529999999999999361e+01 1.044474343339283351e+00 4.423151812858516774e-03
0.000000000000000000e+00 9.900000000000000355e+00 1.539999999999999325e+01 1.047195383697040016e+00 4.847110854658511457e-03
0.000000000000000000e+00 9.900000000000000355e+00 1.549999999999999289e+01 1.050790330872094280e+00 5.506650844565699580e-03
0.000000000000000000e+00 9.900000000000000355e+00 1.559999999999999254e+01 1.053620966038132378e+00 6.368431304919569547e-03
0.000000000000000000e+00 9.900000000000000355e+00 1.569999999999999218e+01 1.056588089226242921e+00 7.608720400216466978e-03
0.000000000000000000e+00 9.900000000000000355e+00 1.579999999999999183e+01 1.059462053948324156e+00 9.032467432006184918e-03
0.000000000000000000e+00 1.000000000000000000e+01 1.350000000000000000e+01 9.624414940089788262e-01 2.385299977972799544e-03
0.000000000000000000e+00 1.000000000000000000e+01 1.359999999999999964e+01 9.706067526757964359e-01 2.234992924636044695e-03
0.000000000000000000e+00 1.000000000000000000e+01 1.369999999999999929e+01 9.784417629982684605e-01 2.088941172555011487e-03
0.000000000000000000e+00 1.000000000000000000e+01 1.379999999999999893e+01 9.858284743705897357e-01 1.971645976235858813e-03
0.000000000000000000e+00 1.000000000000000000e+01 1.389999999999999858e+01 9.928362890734386825e-01 1.871076975704485034e-03
0.000000000000000000e+00 1.000000000000000000e+01 1.399999999999999822e+01 9.992929854535934631e-01 1.782490104810087765e-03
0.000000000000000000e+00 1.000000000000000000e+01 1.409999999999999787e+01 1.005259594695487424e+00 1.760750395777229077e-03
0.000000000000000000e+00 1.000000000000000000e+01 1.419999999999999751e+01 1.010617197779981158e+00 1.775190126119373900e-03
0.000000000000000000e+00 1.000000000000000000e+01 1.429999999999999716e+01 1.015495694980536490e+00 1.896693475395708553e-03
0.000000000000000000e+00 1.000000000000000000e+01 1.439999999999999680e+01 1.019814794706533467e+00 1.937905004893639279e-03
0.000000000000000000e+00 1.000000000000000000e+01 1.449999999999999645e+01 1.023541929020284513e+00 2.165238582146709195e-03
0.000000000000000000e+00 1.000000000000000000e+01 1.459999999999999609e+01 1.026709582180143965e+00 2.300708210674629918e-03
0.000000000000000000e+00 1.000000000000000000e+01 1.469999999999999574e+01 1.029481889710605724e+00 2.549187443806782624e-03
0.000000000000000000e+00 1.000000000000000000e+01 1.479999999999999538e+01 1.031950394369199886e+00 2.785801989197758503e-03
